CartID,CustomerID,ProductID,Quantity,AddedDate
1,1109,890,2,2025-05-28
2,1001,793,1,2026-02-11
3,416,792,3,2025-03-10
4,930,295,1,2025-12-24
5,2098,630,1,2026-03-25
6,99,246,1,2025-03-29
7,733,657,2,2025-03-18
8,124,668,3,2026-01-13
9,11,793,2,2026-05-07
10,1230,117,3,2025-02-11
11,1146,789,3,2025-12-07
12,857,142,1,2025-07-24
13,1985,25,1,2026-05-03
14,2986,967,2,2025-12-18
15,2855,367,2,2025-05-05
16,668,963,2,2026-05-20
17,1950,975,2,2026-06-08
18,1114,650,2,2026-06-07
19,560,776,2,2025-09-24
20,845,436,1,2025-04-26
21,1023,476,1,2025-10-16
22,1796,875,2,2025-07-03
23,510,851,3,2025-08-19
24,2358,244,3,2025-04-01
25,2845,587,2,2025-08-02
26,20,74,2,2025-06-22
27,641,223,1,2025-05-04
28,486,857,1,2025-05-16
29,61,374,1,2025-01-07
30,35,385,3,2026-04-08
31,2350,392,3,2025-12-06
32,1282,407,3,2025-10-16
33,86,201,2,2026-05-12
34,1363,597,3,2025-11-06
35,607,53,3,2025-09-27
36,949,88,3,2026-04-22
37,591,692,2,2026-03-28
38,2076,28,3,2026-05-21
39,2427,72,2,2025-03-08
40,356,501,3,2026-01-26
41,2784,451,2,2025-07-12
42,124,156,2,2025-04-25
43,650,409,1,2026-03-07
44,2120,275,1,2025-01-01
45,2036,136,1,2026-03-06
46,632,774,3,2026-06-16
47,34,571,3,2025-04-16
48,2998,170,3,2025-09-13
49,1392,439,2,2026-01-19
50,2528,189,2,2026-02-18
51,583,419,1,2025-01-31
52,2098,511,1,2026-04-21
53,967,103,3,2026-06-08
54,992,429,2,2026-03-31
55,671,145,3,2026-02-17
56,1766,126,2,2025-08-28
57,1198,55,1,2025-01-31
58,1702,544,1,2026-02-20
59,1802,80,3,2025-08-02
60,553,925,2,2026-05-23
61,613,550,1,2026-05-18
62,1848,307,1,2025-09-01
63,1831,853,1,2026-03-13
64,1087,517,3,2026-05-07
65,1055,755,3,2026-02-02
66,1171,583,1,2025-09-10
67,346,837,2,2025-10-31
68,2957,33,1,2025-04-11
69,1337,44,2,2025-06-26
70,1537,533,3,2026-03-23
71,609,473,1,2025-05-17
72,2052,984,2,2025-07-17
73,371,729,1,2026-06-17
74,1542,811,1,2025-07-28
75,953,234,2,2025-08-05
76,2600,471,3,2025-01-13
77,2734,64,2,2026-07-02
78,338,169,3,2026-05-04
79,165,741,3,2025-08-14
80,1573,389,2,2026-04-18
81,717,469,3,2025-12-25
82,941,998,1,2026-01-07
83,295,901,2,2026-04-17
84,1146,316,1,2025-07-23
85,2005,120,2,2025-02-27
86,815,807,1,2025-10-01
87,1340,597,2,2025-06-07
88,74,755,1,2025-12-02
