Category,Year,Month,Revenue,UnitsSold
Wrist Watch,2025,1,583753,609
Wrist Watch,2025,2,548408,580
Wrist Watch,2025,3,253892,802
Wrist Watch,2025,4,877608,709
Wrist Watch,2025,5,143366,127
Wrist Watch,2025,6,535261,388
Wrist Watch,2025,7,1784992,1092
Wrist Watch,2025,8,817606,865
Wrist Watch,2025,9,915020,100
Wrist Watch,2025,10,219754,561
Wrist Watch,2025,11,1537173,661
Wrist Watch,2025,12,598230,788
Smart Watch,2025,1,477367,953
Smart Watch,2025,2,1000639,489
Smart Watch,2025,3,2150265,433
Smart Watch,2025,4,897194,683
Smart Watch,2025,5,660480,879
Smart Watch,2025,6,231638,366
Smart Watch,2025,7,590585,581
Smart Watch,2025,8,1565807,1144
Smart Watch,2025,9,241267,293
Smart Watch,2025,10,2231621,440
Smart Watch,2025,11,1962095,346
Smart Watch,2025,12,1114719,705
Wall Clock,2025,1,272183,600
Wall Clock,2025,2,903645,1198
Wall Clock,2025,3,993937,350
Wall Clock,2025,4,1693327,195
Wall Clock,2025,5,1777156,657
Wall Clock,2025,6,543794,702
Wall Clock,2025,7,1920865,857
Wall Clock,2025,8,259885,737
Wall Clock,2025,9,1042103,538
Wall Clock,2025,10,1178180,561
Wall Clock,2025,11,230191,317
Wall Clock,2025,12,861450,665
