ActivityID,CustomerID,ProductID,ActivityType,ActivityDate
1,1386,971,Search,2025-01-01
2,907,606,Wishlist,2025-08-03
3,362,308,Wishlist,2025-11-03
4,135,133,Search,2025-04-13
5,1967,456,Purchase,2025-11-17
6,333,509,Purchase,2025-04-12
7,2988,671,AddToCart,2026-03-02
8,2280,427,Wishlist,2025-12-12
9,1109,91,AddToCart,2026-01-19
10,756,488,Wishlist,2026-05-19
11,2151,687,Purchase,2026-01-22
12,1488,199,Wishlist,2025-01-27
13,1816,207,Wishlist,2025-07-12
14,1374,800,Search,2025-09-21
15,1742,839,Wishlist,2026-04-18
16,2264,424,Wishlist,2026-01-12
17,1207,490,Wishlist,2025-03-09
18,1396,33,Purchase,2026-02-17
19,1748,37,AddToCart,2026-05-21
20,783,900,AddToCart,2026-06-07
21,2173,297,Search,2026-04-12
22,802,419,Search,2025-01-13
23,1957,519,View,2025-06-14
24,1694,30,AddToCart,2025-09-13
25,2655,480,Purchase,2026-02-17
26,2128,698,Wishlist,2025-01-26
27,2249,906,Wishlist,2026-06-19
28,2051,716,Search,2025-07-01
29,2177,929,Purchase,2025-12-27
30,1853,541,AddToCart,2025-08-26
31,1793,356,Purchase,2025-11-28
32,2352,920,Purchase,2025-02-08
33,93,750,AddToCart,2025-10-10
34,1592,151,AddToCart,2025-09-05
35,894,717,Wishlist,2025-11-23
36,347,502,Wishlist,2025-10-03
37,386,173,View,2025-09-25
38,1774,555,Search,2025-06-10
39,386,66,Search,2025-06-23
40,2028,615,Wishlist,2025-08-21
41,2087,150,View,2025-07-15
42,2884,964,View,2025-08-31
43,2444,431,Wishlist,2026-05-02
44,2140,305,Purchase,2025-08-30
45,2190,994,Search,2025-11-18
46,340,405,AddToCart,2025-04-13
47,2532,581,Wishlist,2025-09-20
48,369,687,Search,2025-01-19
49,1289,481,AddToCart,2025-11-18
50,2,822,View,2025-02-23
51,2019,979,View,2026-04-25
52,1402,958,Search,2025-05-28
53,2998,510,AddToCart,2025-08-13
54,1047,692,Purchase,2026-06-21
55,2294,442,Purchase,2025-06-10
56,812,598,Wishlist,2025-09-16
57,60,164,Wishlist,2025-10-25
58,2595,913,Search,2025-10-08
59,2652,137,Search,2026-01-10
60,2285,259,Search,2025-03-16
61,1301,524,Search,2025-05-02
62,1740,879,Wishlist,2025-05-19
63,2952,807,View,2025-06-20
64,1139,318,AddToCart,2025-02-15
65,2415,829,Purchase,2026-01-14
66,1509,290,Wishlist,2026-06-22
67,692,644,Wishlist,2026-05-28
68,1026,434,Wishlist,2025-01-03
69,1447,630,Search,2025-12-24
70,1243,833,AddToCart,2025-02-25
71,2714,124,View,2025-02-13
72,61,833,Search,2025-05-02
73,1357,848,Purchase,2025-03-09
74,87,289,Purchase,2025-10-01
75,1024,766,Wishlist,2025-07-08
76,2721,310,View,2025-11-18
77,2233,667,Search,2026-07-03
78,1746,176,Wishlist,2025-05-25
79,893,761,Wishlist,2025-10-19
80,2501,723,Purchase,2025-10-23
81,796,884,Wishlist,2025-06-16
82,936,308,Wishlist,2025-11-30
83,1793,766,Purchase,2026-04-20
84,1717,893,AddToCart,2025-09-19
85,1471,177,Search,2026-02-06
86,2518,390,Purchase,2026-02-21
87,342,746,Purchase,2026-05-27
88,587,724,Search,2025-01-08
89,2829,971,Search,2026-01-07
90,2033,324,Purchase,2025-05-14
91,1224,234,Wishlist,2025-12-26
92,2855,437,View,2026-03-10
93,1668,936,Wishlist,2026-02-19
94,2492,135,AddToCart,2025-11-12
95,1105,331,View,2025-02-19
96,1041,191,AddToCart,2025-05-15
97,2213,46,AddToCart,2025-12-05
98,1891,511,Search,2025-10-07
99,1629,837,AddToCart,2025-06-15
100,2820,494,View,2025-03-22
101,1525,696,Purchase,2026-02-08
102,2297,97,Search,2025-11-24
103,1539,195,AddToCart,2026-04-12
104,136,211,Wishlist,2026-03-04
105,1350,292,Wishlist,2025-05-17
106,1886,582,AddToCart,2026-05-07
107,1324,114,AddToCart,2025-03-10
108,405,106,View,2025-01-01
109,1528,515,Purchase,2025-02-28
110,883,352,Wishlist,2026-05-05
111,789,699,Wishlist,2025-01-09
112,1559,509,View,2026-04-19
113,133,599,View,2025-08-15
114,2174,996,AddToCart,2025-09-22
115,1898,373,View,2026-06-04
116,2487,607,View,2025-03-27
117,527,697,Search,2025-06-19
118,1147,508,Search,2025-11-14
119,2291,615,View,2026-04-02
120,817,698,AddToCart,2026-05-05
121,2017,159,View,2025-06-16
122,1820,117,AddToCart,2026-07-04
123,2065,537,Search,2025-05-05
124,209,790,AddToCart,2025-03-20
125,1358,884,Search,2025-01-14
126,714,280,Wishlist,2026-01-16
127,377,231,View,2025-11-15
128,93,542,View,2026-05-13
129,397,320,Purchase,2025-04-19
130,179,20,View,2026-06-19
131,314,286,View,2025-06-10
132,2182,338,Purchase,2025-11-21
133,476,608,Wishlist,2025-02-03
134,12,901,Purchase,2026-03-30
135,495,643,Search,2025-08-17
136,382,75,Search,2025-07-17
137,468,661,View,2026-06-20
138,1899,53,Wishlist,2025-04-27
139,2071,583,AddToCart,2025-11-06
140,1737,260,AddToCart,2025-08-24
141,2599,659,AddToCart,2025-05-04
142,1994,487,AddToCart,2026-02-17
143,830,454,Search,2025-03-07
144,903,912,Search,2025-01-05
145,574,316,View,2025-05-14
146,546,618,AddToCart,2026-06-19
147,852,912,Purchase,2025-02-27
148,221,883,Purchase,2025-11-06
149,2282,467,View,2025-02-05
150,945,105,AddToCart,2025-08-04
151,1536,270,Wishlist,2025-09-26
152,2608,838,Search,2025-04-23
153,2563,887,Wishlist,2025-05-11
154,1871,771,Search,2025-02-22
155,1389,219,View,2026-06-12
156,1044,83,Purchase,2026-04-11
157,1608,361,AddToCart,2026-02-03
158,451,884,Purchase,2025-05-31
159,1502,78,Purchase,2026-02-01
160,43,428,Search,2026-04-28
161,2913,186,AddToCart,2025-02-12
162,410,740,Search,2025-04-04
163,1655,898,AddToCart,2026-03-30
164,1267,878,AddToCart,2025-03-09
165,372,21,View,2025-05-08
166,2850,277,Purchase,2025-12-29
167,1675,676,Purchase,2025-02-12
168,190,448,Purchase,2026-05-30
169,83,789,Purchase,2025-08-28
170,449,913,Purchase,2025-03-06
171,2667,48,Purchase,2025-04-20
172,1052,129,AddToCart,2026-07-02
173,830,438,AddToCart,2026-03-08
174,2705,955,Purchase,2026-05-19
175,2325,635,View,2025-05-18
176,1061,147,Wishlist,2025-05-25
177,462,432,Purchase,2025-10-18
178,2631,634,AddToCart,2026-01-02
179,777,49,Search,2025-09-07
180,1098,10,Wishlist,2026-07-05
181,909,626,Search,2025-10-02
182,1210,995,Wishlist,2026-02-10
183,2565,316,Search,2025-12-24
184,416,320,AddToCart,2025-02-10
185,399,16,Purchase,2025-07-08
186,628,199,AddToCart,2025-01-27
187,1263,592,Search,2025-06-21
188,2064,418,AddToCart,2025-01-17
189,808,580,AddToCart,2025-11-16
190,1981,22,AddToCart,2026-02-06
191,1343,775,Purchase,2025-10-30
192,1522,796,View,2025-11-17
193,770,159,Purchase,2025-03-26
194,641,892,AddToCart,2025-04-27
195,1135,906,Purchase,2026-01-04
196,22,32,AddToCart,2025-04-10
197,1879,688,View,2025-11-14
198,2102,562,AddToCart,2026-05-10
199,1610,919,Purchase,2026-04-01
200,1879,454,Search,2025-10-28
201,119,329,Search,2026-04-23
202,150,688,Purchase,2025-05-08
203,1643,166,Purchase,2026-01-02
204,435,83,AddToCart,2026-05-22
205,1846,688,AddToCart,2026-01-26
206,2826,862,AddToCart,2025-05-28
207,1851,118,Wishlist,2025-07-02
208,698,374,View,2025-08-20
209,1818,333,Purchase,2025-07-20
210,2506,207,Purchase,2026-02-25
211,2408,7,Wishlist,2025-04-30
212,325,386,Wishlist,2026-04-20
213,1608,311,View,2025-03-27
214,2800,328,AddToCart,2025-05-21
215,257,764,Wishlist,2025-01-16
216,546,900,Wishlist,2026-01-19
217,1385,390,Purchase,2025-01-23
218,1012,366,AddToCart,2025-08-04
219,1732,516,AddToCart,2025-07-15
220,2636,762,Search,2026-03-19
221,139,453,AddToCart,2025-06-08
222,42,185,Search,2026-07-01
223,317,321,Purchase,2025-10-01
224,312,471,Wishlist,2026-04-18
225,743,281,Wishlist,2025-09-30
226,2609,515,Search,2025-09-08
227,2572,443,Wishlist,2026-06-30
228,2984,967,AddToCart,2025-11-27
229,2456,104,View,2025-09-10
230,2788,851,Search,2026-03-03
231,1850,841,Wishlist,2026-06-21
232,963,247,Wishlist,2025-05-11
233,2997,252,AddToCart,2025-11-22
234,1424,967,View,2026-04-13
235,2376,369,Purchase,2025-04-14
236,828,22,AddToCart,2025-02-22
237,1,348,Wishlist,2025-08-31
238,2016,554,Purchase,2025-08-15
239,2110,292,View,2025-10-04
240,1721,442,Purchase,2025-10-24
241,2079,471,Search,2025-04-16
242,602,201,Search,2025-04-23
243,2295,780,Search,2025-02-06
244,2002,953,Search,2026-06-21
245,511,97,Purchase,2026-06-09
246,2416,658,Wishlist,2025-11-02
247,1513,776,Search,2026-06-28
248,2966,681,Purchase,2025-02-04
249,2370,392,Search,2025-06-18
250,2111,591,View,2026-03-06
