Date,PredictedRevenue,PredictedOrders
2027-01-01,118859,66
2027-01-02,653307,78
2027-01-03,181101,103
2027-01-04,261915,148
2027-01-05,415945,64
2027-01-06,210252,65
2027-01-07,112917,115
2027-01-08,626419,75
2027-01-09,163722,36
2027-01-10,136584,88
2027-01-11,380141,60
2027-01-12,284271,71
2027-01-13,348326,35
2027-01-14,580366,137
2027-01-15,344313,72
2027-01-16,360685,70
2027-01-17,282905,113
2027-01-18,195746,110
2027-01-19,231749,45
2027-01-20,274011,103
2027-01-21,120589,131
2027-01-22,287337,100
2027-01-23,580555,107
2027-01-24,178738,67
2027-01-25,552709,82
2027-01-26,162540,122
2027-01-27,155489,127
2027-01-28,698549,73
2027-01-29,295654,105
2027-01-30,142751,136
2027-01-31,348393,84
2027-02-01,162706,150
2027-02-02,356991,145
2027-02-03,564460,38
2027-02-04,96586,30
2027-02-05,549381,76
2027-02-06,453534,143
2027-02-07,287280,148
2027-02-08,401677,39
2027-02-09,438332,133
2027-02-10,120390,68
2027-02-11,672814,42
2027-02-12,121545,82
2027-02-13,483992,114
2027-02-14,484477,115
2027-02-15,560641,30
2027-02-16,415064,64
2027-02-17,416932,41
2027-02-18,148440,110
2027-02-19,342955,63
2027-02-20,564007,55
2027-02-21,325134,89
2027-02-22,487670,91
2027-02-23,591074,91
2027-02-24,511842,93
2027-02-25,646929,47
2027-02-26,519395,144
2027-02-27,377700,145
2027-02-28,388419,145
2027-03-01,655955,97
2027-03-02,239968,84
2027-03-03,105105,115
2027-03-04,564856,113
2027-03-05,407051,83
2027-03-06,526797,69
2027-03-07,169242,130
2027-03-08,669445,49
2027-03-09,299714,35
2027-03-10,474092,51
2027-03-11,204533,81
2027-03-12,327362,121
2027-03-13,353935,84
2027-03-14,649417,105
2027-03-15,567046,108
2027-03-16,479659,66
2027-03-17,82780,119
2027-03-18,258217,95
2027-03-19,595902,110
2027-03-20,257282,145
2027-03-21,685028,100
2027-03-22,252024,56
2027-03-23,527542,111
2027-03-24,460593,32
2027-03-25,502225,104
2027-03-26,482527,40
2027-03-27,455300,121
2027-03-28,429660,79
2027-03-29,342503,42
2027-03-30,93974,72
2027-03-31,195758,126
2027-04-01,370334,87
2027-04-02,110703,34
2027-04-03,662168,132
2027-04-04,423491,62
2027-04-05,151718,95
2027-04-06,295870,127
2027-04-07,544824,80
2027-04-08,99026,101
2027-04-09,572780,104
2027-04-10,338788,30
2027-04-11,84903,148
2027-04-12,90410,62
2027-04-13,663275,115
2027-04-14,108186,125
2027-04-15,81273,85
2027-04-16,390951,34
2027-04-17,519690,56
2027-04-18,501222,130
2027-04-19,97641,37
2027-04-20,361781,99
2027-04-21,340378,99
2027-04-22,495357,82
2027-04-23,664438,37
2027-04-24,430690,101
2027-04-25,184826,51
2027-04-26,149021,46
2027-04-27,542854,146
2027-04-28,223263,77
2027-04-29,204141,51
2027-04-30,557207,57
2027-05-01,121215,91
2027-05-02,686578,117
2027-05-03,224975,127
2027-05-04,493452,117
2027-05-05,554424,63
2027-05-06,611582,89
2027-05-07,354700,62
2027-05-08,563306,49
2027-05-09,170991,86
2027-05-10,610888,136
2027-05-11,179699,79
2027-05-12,146434,114
2027-05-13,409347,112
2027-05-14,609201,88
2027-05-15,476253,127
2027-05-16,524535,103
2027-05-17,227965,71
2027-05-18,682025,38
2027-05-19,139939,82
2027-05-20,450538,67
2027-05-21,529606,108
2027-05-22,663198,142
2027-05-23,114401,52
2027-05-24,231346,132
2027-05-25,262061,74
2027-05-26,249069,142
2027-05-27,657725,77
2027-05-28,360380,105
2027-05-29,159319,63
2027-05-30,96540,114
2027-05-31,195093,49
2027-06-01,649855,124
2027-06-02,167073,149
2027-06-03,91436,67
2027-06-04,183090,102
2027-06-05,162244,80
2027-06-06,124281,140
2027-06-07,475307,85
2027-06-08,270234,62
2027-06-09,382038,56
2027-06-10,546287,39
2027-06-11,574522,110
2027-06-12,248560,78
2027-06-13,133126,138
2027-06-14,173970,63
2027-06-15,579320,143
2027-06-16,653509,149
2027-06-17,565351,71
2027-06-18,110590,80
2027-06-19,126578,142
2027-06-20,511045,126
2027-06-21,422696,128
2027-06-22,648019,46
2027-06-23,329176,57
2027-06-24,197931,147
2027-06-25,562121,83
2027-06-26,443133,65
2027-06-27,376071,87
2027-06-28,300211,46
2027-06-29,608947,58
2027-06-30,243711,103
2027-07-01,623811,131
2027-07-02,595119,47
2027-07-03,241198,86
2027-07-04,386463,32
2027-07-05,587157,39
2027-07-06,127944,61
2027-07-07,262574,132
2027-07-08,136510,137
2027-07-09,471099,111
2027-07-10,676462,64
2027-07-11,651487,90
2027-07-12,244219,42
2027-07-13,631069,115
2027-07-14,438858,110
2027-07-15,324099,100
2027-07-16,549615,142
2027-07-17,377627,80
2027-07-18,635040,107
2027-07-19,634428,123
2027-07-20,276402,56
2027-07-21,481644,132
2027-07-22,602076,140
2027-07-23,504702,77
2027-07-24,406894,97
2027-07-25,664839,70
2027-07-26,137759,56
2027-07-27,516012,54
2027-07-28,573676,62
2027-07-29,492859,113
2027-07-30,278743,148
2027-07-31,596615,147
2027-08-01,292740,123
2027-08-02,177262,59
2027-08-03,373194,117
2027-08-04,138893,112
2027-08-05,477773,135
2027-08-06,492732,65
2027-08-07,610213,85
2027-08-08,485927,69
2027-08-09,698922,37
2027-08-10,408089,126
2027-08-11,355230,84
2027-08-12,557559,48
2027-08-13,282785,99
2027-08-14,513052,88
2027-08-15,131429,99
2027-08-16,202143,133
2027-08-17,558640,54
2027-08-18,591755,106
2027-08-19,185176,47
2027-08-20,426978,100
2027-08-21,218406,121
2027-08-22,474315,139
2027-08-23,514987,44
2027-08-24,378286,101
2027-08-25,134322,111
2027-08-26,520811,53
2027-08-27,677909,94
2027-08-28,277027,135
2027-08-29,417501,104
2027-08-30,511838,103
2027-08-31,467340,32
2027-09-01,664536,86
2027-09-02,96604,104
2027-09-03,256973,126
2027-09-04,606575,102
2027-09-05,294216,67
2027-09-06,442411,128
2027-09-07,170231,119
2027-09-08,615869,146
2027-09-09,695775,112
2027-09-10,209281,86
2027-09-11,385601,141
2027-09-12,566109,96
2027-09-13,517571,139
2027-09-14,383828,109
2027-09-15,474192,139
2027-09-16,322839,91
2027-09-17,510790,35
2027-09-18,585049,124
2027-09-19,491010,31
2027-09-20,181950,126
2027-09-21,474536,111
2027-09-22,123671,144
2027-09-23,483435,84
2027-09-24,251741,46
2027-09-25,595007,51
2027-09-26,397885,45
2027-09-27,241901,60
2027-09-28,546424,107
2027-09-29,250264,90
2027-09-30,557620,124
2027-10-01,606705,56
2027-10-02,481636,127
2027-10-03,195426,82
2027-10-04,349483,128
2027-10-05,459315,45
2027-10-06,173478,50
2027-10-07,596548,96
2027-10-08,105844,95
2027-10-09,125291,47
2027-10-10,694251,68
2027-10-11,557239,136
2027-10-12,678711,110
2027-10-13,201152,60
2027-10-14,391890,69
2027-10-15,530400,96
2027-10-16,448135,58
2027-10-17,393713,146
2027-10-18,151526,129
2027-10-19,334915,75
2027-10-20,682157,72
2027-10-21,383068,112
2027-10-22,486359,96
2027-10-23,92284,88
2027-10-24,632802,103
2027-10-25,119247,50
2027-10-26,158326,127
2027-10-27,589547,48
2027-10-28,602686,136
2027-10-29,420270,79
2027-10-30,506570,109
2027-10-31,446603,114
2027-11-01,515801,130
2027-11-02,197027,120
2027-11-03,597004,149
2027-11-04,157830,102
2027-11-05,299846,30
2027-11-06,288607,61
2027-11-07,163567,147
2027-11-08,215165,67
2027-11-09,291568,52
2027-11-10,171924,56
2027-11-11,277939,113
2027-11-12,610078,33
2027-11-13,601404,107
2027-11-14,260773,41
2027-11-15,255277,142
2027-11-16,249118,144
2027-11-17,601369,64
2027-11-18,672056,90
2027-11-19,312337,94
2027-11-20,208676,51
