InventoryID,ProductID,Warehouse,AvailableStock,ReorderLevel
1,1,WH-5,188,20
2,2,WH-9,254,20
3,3,WH-8,175,20
4,4,WH-7,31,20
5,5,WH-1,22,20
6,6,WH-2,189,20
7,7,WH-4,215,20
8,8,WH-5,12,20
9,9,WH-3,109,20
10,10,WH-8,215,20
11,11,WH-2,226,20
12,12,WH-10,209,20
13,13,WH-3,163,20
14,14,WH-1,156,20
15,15,WH-8,287,20
16,16,WH-2,171,20
17,17,WH-7,194,20
18,18,WH-9,7,20
19,19,WH-3,97,20
20,20,WH-8,127,20
21,21,WH-10,26,20
22,22,WH-2,296,20
23,23,WH-10,129,20
24,24,WH-6,28,20
25,25,WH-10,288,20
26,26,WH-10,130,20
27,27,WH-1,26,20
28,28,WH-6,23,20
29,29,WH-10,96,20
30,30,WH-10,179,20
31,31,WH-2,198,20
32,32,WH-9,19,20
33,33,WH-10,224,20
34,34,WH-9,131,20
35,35,WH-3,217,20
36,36,WH-5,70,20
37,37,WH-2,135,20
38,38,WH-3,160,20
39,39,WH-2,265,20
40,40,WH-1,280,20
41,41,WH-3,11,20
42,42,WH-2,168,20
43,43,WH-1,200,20
44,44,WH-6,115,20
45,45,WH-7,29,20
46,46,WH-9,294,20
47,47,WH-7,122,20
48,48,WH-2,85,20
49,49,WH-3,53,20
50,50,WH-8,214,20
51,51,WH-5,90,20
52,52,WH-8,77,20
53,53,WH-3,299,20
54,54,WH-1,149,20
55,55,WH-1,123,20
56,56,WH-7,247,20
57,57,WH-10,242,20
58,58,WH-7,28,20
59,59,WH-4,74,20
60,60,WH-2,37,20
61,61,WH-10,174,20
62,62,WH-10,75,20
63,63,WH-7,211,20
64,64,WH-8,26,20
65,65,WH-8,140,20
66,66,WH-5,79,20
67,67,WH-2,154,20
68,68,WH-10,65,20
69,69,WH-5,199,20
70,70,WH-10,139,20
71,71,WH-3,267,20
72,72,WH-3,260,20
73,73,WH-4,298,20
74,74,WH-6,173,20
75,75,WH-4,94,20
76,76,WH-9,254,20
77,77,WH-10,49,20
78,78,WH-10,176,20
79,79,WH-10,177,20
80,80,WH-8,168,20
81,81,WH-2,199,20
82,82,WH-10,43,20
83,83,WH-10,45,20
84,84,WH-5,252,20
85,85,WH-3,63,20
86,86,WH-6,35,20
87,87,WH-1,245,20
88,88,WH-8,174,20
89,89,WH-9,104,20
90,90,WH-7,180,20
91,91,WH-10,7,20
92,92,WH-10,201,20
93,93,WH-6,261,20
94,94,WH-2,79,20
95,95,WH-5,199,20
96,96,WH-10,207,20
97,97,WH-7,44,20
98,98,WH-5,111,20
99,99,WH-3,41,20
100,100,WH-3,71,20
101,101,WH-2,63,20
102,102,WH-10,63,20
103,103,WH-1,292,20
104,104,WH-2,42,20
105,105,WH-9,248,20
106,106,WH-3,217,20
107,107,WH-10,245,20
108,108,WH-9,61,20
109,109,WH-3,180,20
110,110,WH-5,103,20
111,111,WH-9,145,20
112,112,WH-5,170,20
113,113,WH-6,290,20
114,114,WH-9,16,20
115,115,WH-6,102,20
116,116,WH-2,31,20
117,117,WH-7,25,20
118,118,WH-9,147,20
119,119,WH-6,261,20
120,120,WH-4,41,20
121,121,WH-5,126,20
122,122,WH-1,269,20
123,123,WH-3,59,20
124,124,WH-5,254,20
125,125,WH-3,96,20
126,126,WH-1,206,20
127,127,WH-8,54,20
128,128,WH-1,31,20
129,129,WH-7,113,20
130,130,WH-9,236,20
131,131,WH-3,120,20
132,132,WH-4,19,20
133,133,WH-5,25,20
134,134,WH-8,82,20
135,135,WH-4,230,20
136,136,WH-7,101,20
137,137,WH-1,152,20
138,138,WH-7,136,20
139,139,WH-9,194,20
140,140,WH-6,103,20
141,141,WH-6,85,20
142,142,WH-7,131,20
143,143,WH-4,181,20
144,144,WH-9,160,20
145,145,WH-2,113,20
146,146,WH-8,11,20
147,147,WH-9,229,20
148,148,WH-3,287,20
149,149,WH-2,212,20
150,150,WH-1,98,20
151,151,WH-4,114,20
152,152,WH-3,265,20
153,153,WH-6,290,20
154,154,WH-7,39,20
155,155,WH-1,132,20
156,156,WH-1,171,20
157,157,WH-7,94,20
158,158,WH-1,209,20
159,159,WH-4,280,20
160,160,WH-6,62,20
161,161,WH-4,269,20
162,162,WH-2,44,20
163,163,WH-4,225,20
164,164,WH-3,173,20
165,165,WH-4,101,20
166,166,WH-7,102,20
167,167,WH-2,249,20
168,168,WH-6,118,20
169,169,WH-4,131,20
170,170,WH-6,58,20
171,171,WH-10,227,20
172,172,WH-9,157,20
173,173,WH-5,85,20
174,174,WH-7,161,20
175,175,WH-5,127,20
176,176,WH-10,64,20
177,177,WH-1,35,20
178,178,WH-7,73,20
179,179,WH-4,249,20
180,180,WH-1,97,20
181,181,WH-5,71,20
182,182,WH-5,47,20
183,183,WH-6,269,20
184,184,WH-1,239,20
185,185,WH-4,166,20
186,186,WH-1,86,20
187,187,WH-4,125,20
188,188,WH-5,115,20
189,189,WH-6,145,20
190,190,WH-2,227,20
191,191,WH-5,38,20
192,192,WH-5,53,20
193,193,WH-10,41,20
194,194,WH-6,241,20
195,195,WH-6,136,20
196,196,WH-1,152,20
197,197,WH-7,280,20
198,198,WH-1,126,20
199,199,WH-6,13,20
200,200,WH-3,107,20
201,201,WH-4,27,20
202,202,WH-5,43,20
203,203,WH-3,6,20
204,204,WH-8,280,20
205,205,WH-2,65,20
206,206,WH-3,111,20
207,207,WH-9,106,20
208,208,WH-7,13,20
209,209,WH-2,281,20
210,210,WH-6,292,20
211,211,WH-7,84,20
212,212,WH-4,67,20
213,213,WH-6,193,20
214,214,WH-6,272,20
215,215,WH-7,144,20
216,216,WH-10,150,20
217,217,WH-8,264,20
218,218,WH-5,209,20
219,219,WH-3,168,20
220,220,WH-2,84,20
221,221,WH-7,254,20
222,222,WH-8,165,20
223,223,WH-1,81,20
224,224,WH-10,259,20
225,225,WH-7,10,20
226,226,WH-7,240,20
227,227,WH-4,199,20
228,228,WH-6,253,20
229,229,WH-8,61,20
230,230,WH-1,62,20
231,231,WH-6,217,20
232,232,WH-7,78,20
233,233,WH-7,25,20
234,234,WH-3,196,20
235,235,WH-7,82,20
236,236,WH-9,49,20
237,237,WH-7,157,20
238,238,WH-9,208,20
239,239,WH-10,127,20
240,240,WH-1,220,20
241,241,WH-8,102,20
242,242,WH-1,55,20
243,243,WH-5,58,20
244,244,WH-5,145,20
245,245,WH-8,230,20
246,246,WH-1,244,20
247,247,WH-5,38,20
248,248,WH-1,63,20
249,249,WH-8,74,20
250,250,WH-6,66,20
251,251,WH-6,225,20
252,252,WH-8,162,20
253,253,WH-7,212,20
254,254,WH-6,41,20
255,255,WH-10,112,20
256,256,WH-3,167,20
257,257,WH-5,112,20
258,258,WH-6,118,20
259,259,WH-8,76,20
260,260,WH-5,100,20
261,261,WH-1,300,20
262,262,WH-2,33,20
263,263,WH-2,298,20
264,264,WH-4,66,20
265,265,WH-10,260,20
266,266,WH-8,184,20
267,267,WH-8,49,20
268,268,WH-10,135,20
269,269,WH-6,60,20
270,270,WH-10,89,20
271,271,WH-8,50,20
272,272,WH-10,29,20
273,273,WH-9,79,20
274,274,WH-9,170,20
275,275,WH-6,292,20
276,276,WH-2,145,20
277,277,WH-5,73,20
278,278,WH-3,89,20
279,279,WH-6,52,20
280,280,WH-2,74,20
281,281,WH-6,168,20
282,282,WH-3,129,20
283,283,WH-1,242,20
284,284,WH-2,6,20
285,285,WH-6,199,20
286,286,WH-3,270,20
287,287,WH-8,17,20
288,288,WH-4,221,20
289,289,WH-5,214,20
290,290,WH-3,165,20
291,291,WH-8,31,20
292,292,WH-1,90,20
293,293,WH-1,202,20
294,294,WH-6,57,20
295,295,WH-10,37,20
296,296,WH-4,111,20
297,297,WH-8,58,20
298,298,WH-9,96,20
299,299,WH-7,111,20
300,300,WH-9,60,20
301,301,WH-10,178,20
302,302,WH-6,72,20
303,303,WH-8,244,20
304,304,WH-4,17,20
305,305,WH-8,214,20
306,306,WH-6,256,20
307,307,WH-1,175,20
308,308,WH-7,102,20
309,309,WH-10,232,20
310,310,WH-3,55,20
311,311,WH-3,215,20
312,312,WH-8,236,20
313,313,WH-6,275,20
314,314,WH-7,98,20
315,315,WH-2,116,20
316,316,WH-6,109,20
317,317,WH-5,91,20
318,318,WH-2,16,20
319,319,WH-9,43,20
320,320,WH-5,225,20
321,321,WH-3,253,20
322,322,WH-6,280,20
323,323,WH-8,155,20
324,324,WH-1,244,20
325,325,WH-3,75,20
326,326,WH-3,102,20
327,327,WH-9,228,20
328,328,WH-4,254,20
329,329,WH-2,240,20
330,330,WH-8,291,20
331,331,WH-1,64,20
332,332,WH-2,75,20
333,333,WH-4,170,20
334,334,WH-8,17,20
335,335,WH-9,227,20
336,336,WH-6,68,20
337,337,WH-9,74,20
338,338,WH-5,26,20
339,339,WH-5,199,20
340,340,WH-3,41,20
341,341,WH-8,260,20
342,342,WH-9,14,20
343,343,WH-1,185,20
344,344,WH-8,154,20
345,345,WH-9,279,20
346,346,WH-6,290,20
347,347,WH-2,48,20
348,348,WH-6,77,20
349,349,WH-3,169,20
350,350,WH-9,248,20
351,351,WH-3,91,20
352,352,WH-5,194,20
353,353,WH-3,28,20
354,354,WH-1,180,20
355,355,WH-5,273,20
356,356,WH-3,33,20
357,357,WH-2,93,20
358,358,WH-10,118,20
359,359,WH-4,184,20
360,360,WH-6,279,20
361,361,WH-6,22,20
362,362,WH-9,285,20
363,363,WH-3,122,20
364,364,WH-9,237,20
365,365,WH-2,208,20
366,366,WH-7,152,20
367,367,WH-9,87,20
368,368,WH-3,70,20
369,369,WH-4,26,20
370,370,WH-3,13,20
371,371,WH-5,119,20
372,372,WH-8,43,20
373,373,WH-4,118,20
374,374,WH-2,5,20
375,375,WH-3,205,20
376,376,WH-2,285,20
377,377,WH-6,233,20
378,378,WH-2,62,20
379,379,WH-6,110,20
380,380,WH-2,286,20
381,381,WH-9,238,20
382,382,WH-7,34,20
383,383,WH-10,257,20
384,384,WH-1,96,20
385,385,WH-5,155,20
386,386,WH-6,82,20
387,387,WH-7,204,20
388,388,WH-7,107,20
389,389,WH-6,207,20
390,390,WH-3,127,20
391,391,WH-7,188,20
392,392,WH-2,138,20
393,393,WH-9,41,20
394,394,WH-5,152,20
395,395,WH-9,108,20
396,396,WH-1,78,20
397,397,WH-10,117,20
398,398,WH-3,216,20
399,399,WH-9,17,20
400,400,WH-9,196,20
401,401,WH-3,261,20
402,402,WH-7,64,20
403,403,WH-3,84,20
404,404,WH-3,5,20
405,405,WH-8,151,20
406,406,WH-3,41,20
407,407,WH-7,219,20
408,408,WH-5,90,20
409,409,WH-9,187,20
410,410,WH-9,169,20
411,411,WH-5,224,20
412,412,WH-7,144,20
413,413,WH-1,244,20
414,414,WH-5,274,20
415,415,WH-10,124,20
416,416,WH-6,126,20
417,417,WH-9,130,20
418,418,WH-8,42,20
419,419,WH-4,228,20
420,420,WH-4,142,20
421,421,WH-5,112,20
422,422,WH-10,163,20
423,423,WH-5,286,20
424,424,WH-8,276,20
425,425,WH-7,294,20
426,426,WH-3,32,20
427,427,WH-9,261,20
428,428,WH-1,109,20
429,429,WH-3,234,20
430,430,WH-9,188,20
431,431,WH-4,265,20
432,432,WH-5,142,20
433,433,WH-5,113,20
434,434,WH-9,180,20
435,435,WH-6,18,20
436,436,WH-4,272,20
437,437,WH-10,258,20
438,438,WH-8,111,20
439,439,WH-3,266,20
440,440,WH-10,289,20
441,441,WH-3,186,20
442,442,WH-3,46,20
443,443,WH-8,221,20
444,444,WH-4,67,20
445,445,WH-2,271,20
446,446,WH-1,23,20
447,447,WH-6,124,20
448,448,WH-4,183,20
449,449,WH-1,279,20
450,450,WH-1,102,20
451,451,WH-10,94,20
452,452,WH-7,262,20
453,453,WH-3,243,20
454,454,WH-1,157,20
455,455,WH-4,288,20
456,456,WH-4,297,20
457,457,WH-7,91,20
458,458,WH-9,195,20
459,459,WH-7,166,20
460,460,WH-10,197,20
461,461,WH-4,230,20
462,462,WH-9,54,20
463,463,WH-10,257,20
464,464,WH-5,270,20
465,465,WH-1,85,20
466,466,WH-9,209,20
467,467,WH-2,156,20
468,468,WH-4,260,20
469,469,WH-7,215,20
470,470,WH-3,64,20
471,471,WH-3,218,20
472,472,WH-1,125,20
473,473,WH-7,124,20
474,474,WH-3,217,20
475,475,WH-3,253,20
476,476,WH-4,219,20
477,477,WH-1,125,20
478,478,WH-8,188,20
479,479,WH-8,71,20
480,480,WH-1,78,20
481,481,WH-1,15,20
482,482,WH-10,285,20
483,483,WH-4,140,20
484,484,WH-10,298,20
485,485,WH-7,239,20
486,486,WH-9,124,20
487,487,WH-3,167,20
488,488,WH-5,23,20
489,489,WH-3,261,20
490,490,WH-7,224,20
491,491,WH-7,239,20
492,492,WH-4,160,20
493,493,WH-7,121,20
494,494,WH-5,82,20
495,495,WH-5,181,20
