OrderItemID,OrderID,ProductID,Quantity,UnitPrice
1,1,146,2,19897
2,1,527,2,4894
3,1,965,1,11566
4,2,239,2,2055
5,2,83,1,8271
6,2,881,2,15865
7,3,621,2,15970
8,3,966,2,6132
9,3,951,2,19272
10,4,478,1,17953
11,4,233,1,20917
12,5,414,1,1471
13,5,949,1,9202
14,5,183,1,10362
15,6,586,2,2314
16,6,599,1,7140
17,6,618,2,18110
18,7,132,1,10065
19,8,789,2,3659
20,8,872,2,9860
21,8,206,1,24583
22,9,592,1,18268
23,10,365,2,23481
24,10,487,1,7819
25,10,85,2,22531
26,11,34,1,11909
27,11,87,1,1009
28,11,190,1,24851
29,12,775,1,17020
30,13,559,2,10117
31,13,202,1,4314
32,13,206,1,6246
33,14,597,2,22617
34,14,354,2,9187
35,15,370,2,2129
36,15,280,2,3071
37,15,55,2,10481
38,16,752,2,1287
39,17,496,1,4945
40,18,160,1,5953
41,19,958,1,21658
42,19,234,2,10298
43,19,664,1,4203
44,20,533,2,8150
45,20,289,1,19420
46,21,974,1,18341
47,21,398,1,9400
48,22,390,2,933
49,22,300,2,10738
50,23,350,1,17050
51,24,264,1,16342
52,24,639,2,22521
53,25,199,2,23538
54,25,292,1,21317
55,26,254,2,15839
56,27,519,2,9398
57,28,533,1,21416
58,28,544,2,5815
59,29,452,2,21857
60,29,478,2,11620
61,30,305,2,6591
62,30,473,2,7101
63,31,884,2,23765
64,32,359,2,3906
65,32,165,2,9700
66,33,511,2,4417
67,33,363,1,22821
68,33,124,2,16795
69,34,561,2,10346
70,34,494,1,9879
71,35,521,2,20536
72,36,751,2,12978
73,36,155,1,10822
74,37,969,1,5664
75,37,592,2,21609
76,38,433,2,9885
77,38,161,2,21235
78,39,767,2,6677
79,40,473,2,22676
80,41,570,2,8520
81,42,201,1,18042
82,43,3,1,7120
83,43,625,2,9425
84,43,421,1,14981
85,44,110,1,9132
86,44,592,2,12088
87,44,968,2,21249
88,45,960,1,18755
89,45,968,2,14703
90,45,402,1,12987
91,46,685,2,2460
92,47,162,1,2465
93,47,570,1,8099
94,48,928,1,24219
95,49,594,2,5353
96,49,401,1,18705
97,49,579,1,18090
98,50,820,1,24377
99,51,805,1,24586
100,51,451,1,16092
101,52,352,1,18754
102,52,621,1,12734
103,52,508,1,6732
104,53,14,2,22011
105,53,365,2,21926
106,53,449,1,6905
107,54,913,2,21297
108,54,568,1,17541
109,54,490,1,21898
110,55,972,1,11197
111,55,662,2,21563
112,55,391,2,11631
113,56,370,2,20040
114,57,256,1,19132
115,58,165,2,19308
116,58,22,2,5368
117,59,499,1,2473
118,59,654,2,23332
119,59,567,1,2434
120,60,486,1,4757
121,61,657,1,12046
122,62,701,2,23613
123,63,314,2,7083
124,64,566,1,6613
125,64,798,1,24962
126,65,726,1,19774
127,65,29,1,21539
128,65,22,1,2886
129,66,390,1,18694
130,66,634,1,22502
131,66,398,1,10484
132,67,790,2,13370
133,68,34,2,18433
134,68,608,1,5312
135,69,532,1,7589
136,70,37,2,24148
137,70,152,1,21939
138,71,281,1,9362
139,71,225,2,11516
140,72,75,1,24879
141,72,456,1,24958
142,73,703,2,24725
143,73,151,1,1639
144,73,170,1,10452
145,74,487,2,22277
146,74,17,2,14918
147,75,117,2,5219
148,75,132,1,20806
149,76,377,1,21912
150,76,287,2,16757
151,77,681,2,19384
152,77,552,2,18898
153,77,292,1,10879
154,78,649,2,2219
155,78,437,1,10819
156,78,854,1,6612
157,79,383,2,7538
158,79,19,1,12431
159,79,180,2,2234
160,80,344,2,21500
161,80,732,2,16710
162,81,611,2,9233
163,81,161,2,14462
164,82,330,2,16896
165,82,408,1,2255
166,82,754,2,16305
167,83,217,2,9935
168,83,65,2,15392
169,84,653,2,1819
170,84,992,2,3681
171,85,137,1,6507
172,85,531,2,17886
173,85,509,1,16540
174,86,974,1,1536
175,86,589,2,16522
176,87,10,2,17996
177,88,588,1,21589
178,88,766,1,12140
179,89,306,1,17533
180,90,247,2,20074
181,90,434,1,21916
182,90,928,1,21652
183,91,99,1,8157
184,91,922,2,16513
185,92,254,2,4186
186,93,834,1,9748
187,93,526,1,3694
188,93,691,1,24198
189,94,634,1,10286
190,95,733,2,16630
191,95,42,1,17718
192,96,728,1,16813
193,96,282,1,5550
194,96,199,2,8261
195,97,320,2,19119
196,97,22,1,23638
197,97,337,1,17079
198,98,151,2,21591
199,99,324,1,13576
200,100,660,2,5545
201,100,440,1,16466
202,101,413,2,19575
203,101,672,1,6900
204,101,320,2,23437
205,102,817,1,10807
206,102,239,1,6925
207,103,734,2,15142
208,103,921,2,22134
209,104,255,2,17505
210,105,105,2,23726
211,106,621,2,8243
212,106,862,2,9592
213,107,736,1,22991
214,107,870,2,24043
215,107,890,1,11235
216,108,709,2,5433
217,108,500,1,3229
218,108,107,2,9308
219,109,527,2,1135
220,110,376,1,11957
221,110,8,1,21907
222,111,675,2,1755
223,112,134,2,5208
224,112,80,1,23393
225,112,669,1,10153
226,113,501,2,13298
227,113,582,1,17819
228,113,817,1,1312
229,114,776,1,14565
230,114,700,2,13916
231,115,625,1,18139
232,115,225,1,20000
233,116,848,1,22738
234,117,99,1,4643
235,118,356,1,16462
236,118,268,1,20691
237,119,693,1,19593
238,119,827,2,14342
239,119,894,2,1943
240,120,706,1,6871
241,120,322,2,18020
242,120,756,1,11057
243,121,710,2,3548
244,122,702,2,14176
245,122,141,2,13246
246,122,91,2,21205
247,123,919,1,14366
248,124,872,2,4150
249,124,787,1,4941
250,124,306,1,2641
251,125,282,2,7479
252,126,934,2,13442
253,126,880,1,21462
254,126,466,2,7446
255,127,620,1,14427
256,128,26,1,24073
257,129,634,1,6425
258,130,316,1,3988
259,131,918,1,10339
260,132,2,1,18838
261,133,402,1,18807
262,133,464,1,7426
263,133,443,2,22726
264,134,289,2,18443
265,135,9,2,5717
266,135,360,1,11856
267,135,465,2,19293
268,136,955,1,16588
269,137,963,2,13585
270,137,213,1,4472
271,137,67,2,11096
272,138,207,2,1534
273,139,961,1,19574
274,140,7,2,24661
275,140,419,1,19485
276,140,543,2,23353
277,141,99,2,15239
278,141,987,2,8920
279,141,644,2,23158
280,142,591,2,22966
281,142,356,1,19139
282,143,571,1,12422
283,144,481,1,5750
284,144,40,1,18279
285,145,57,1,12127
286,146,79,1,20656
287,146,585,1,1431
288,147,571,1,2436
289,147,318,1,6159
290,147,59,2,12912
291,148,243,2,938
292,148,187,2,7330
293,149,582,1,10736
294,149,14,2,3961
295,149,75,1,9857
296,150,729,2,14749
297,150,283,1,3345
298,150,322,1,11493
299,151,553,1,12743
300,151,450,1,3711
301,152,302,2,11062
302,152,185,2,6120
303,153,580,2,5491
304,154,522,1,15533
305,154,576,1,19915
306,155,382,2,18389
307,155,907,2,6159
308,156,740,2,7056
309,156,816,1,3379
310,156,496,2,2625
311,157,543,1,5559
312,157,974,1,24600
313,157,944,1,8618
314,158,266,2,14453
315,158,763,2,18996
316,159,933,1,16883
317,159,101,2,2540
318,160,857,1,17114
319,160,52,2,1259
320,160,893,1,21021
321,161,205,2,7350
322,161,601,2,5456
323,161,347,1,24132
324,162,754,2,2469
325,162,978,2,13823
326,162,378,1,3503
327,163,408,1,4347
328,164,854,1,10563
329,165,943,2,1301
330,165,544,2,10571
331,166,788,2,9932
332,166,180,2,3798
333,166,716,2,20447
334,167,554,2,20077
335,167,406,1,18611
336,167,805,1,9536
337,168,694,2,16655
338,168,45,2,13068
339,169,367,1,17826
340,170,729,1,4977
341,170,162,2,12737
342,171,622,2,23732
343,171,792,1,6219
344,171,501,2,12098
345,172,146,2,22288
346,172,89,1,13993
347,172,876,1,1457
348,173,890,1,10458
349,173,478,2,12582
350,173,678,2,23605
351,174,48,1,24176
352,174,848,1,16398
353,174,226,2,7142
354,175,884,1,14162
355,175,873,1,8641
356,176,149,1,24201
357,177,681,1,2932
358,177,459,2,19943
359,178,355,1,16562
360,178,501,1,12430
361,178,400,1,12355
362,179,653,2,11175
363,179,915,1,15542
364,180,371,2,11442
365,180,407,1,8480
366,180,734,1,14476
367,181,686,2,17772
368,181,535,2,17068
369,181,477,2,7272
370,182,808,2,14244
371,182,342,1,11588
372,182,357,2,8628
373,183,280,2,21374
374,183,902,2,20545
375,183,99,2,6681
376,184,436,2,11587
377,185,356,2,16507
378,185,363,2,2805
379,186,883,2,11444
380,187,741,2,2108
381,188,684,2,4219
382,188,429,2,19552
383,189,427,1,2230
384,189,835,2,13590
385,189,110,2,24141
386,190,787,1,891
387,190,453,2,1477
388,190,558,2,3081
389,191,162,2,22867
390,191,910,1,5686
391,192,727,1,1335
392,192,565,1,21935
393,193,215,1,5059
394,193,652,1,20125
395,193,67,2,831
396,194,889,2,6289
397,195,432,2,18206
398,195,670,2,1742
399,196,461,2,17746
400,196,261,1,11031
401,196,512,2,19015
402,197,924,1,23450
403,197,328,1,21270
404,197,918,2,15524
405,198,517,1,11031
406,198,675,1,22870
407,198,511,2,24726
408,199,973,1,2771
409,199,209,2,5743
410,200,780,2,19562
411,200,400,2,10119
412,201,825,1,16718
413,201,19,2,3456
414,202,195,1,5793
415,203,834,1,1095
416,203,72,2,2157
417,203,628,2,6505
418,204,424,2,7552
419,204,825,1,8017
420,204,654,1,5558
421,205,573,2,4939
422,205,253,2,14022
423,206,306,1,4215
424,206,77,1,5358
425,207,74,1,17555
426,207,617,1,12113
427,208,924,1,1597
428,208,231,2,4692
429,208,189,2,12769
430,209,209,2,17381
431,209,687,1,10580
432,210,778,1,4453
433,211,54,1,11964
434,212,180,1,12982
435,212,556,1,6967
436,213,501,2,3633
437,214,387,1,19772
438,214,957,2,3224
439,214,134,2,1512
440,215,143,1,14561
441,215,841,1,10254
442,216,641,2,14123
443,217,293,1,13789
444,217,178,1,1596
445,218,136,1,4229
446,218,567,2,18552
447,218,107,1,22823
448,219,103,1,24284
449,219,299,1,1644
450,219,652,1,9927
451,220,441,2,8901
452,221,727,1,1032
453,221,938,2,17261
454,222,207,2,24208
455,222,299,2,24105
456,223,968,2,23728
457,224,683,1,3013
458,224,923,2,22430
459,224,743,1,14432
460,225,932,1,6308
461,225,140,1,19757
462,226,961,2,23490
463,226,510,2,6919
464,226,205,1,7188
465,227,995,1,5059
466,228,138,1,23411
467,228,595,1,5506
468,228,82,2,10717
469,229,947,1,6264
470,230,931,1,23427
471,230,18,2,12462
472,230,940,2,12308
473,231,562,1,22422
474,232,214,1,21997
475,233,416,2,17789
476,233,975,1,7249
477,233,670,2,4613
478,234,987,1,2958
479,235,139,1,18617
480,235,102,1,17342
481,236,404,1,9685
482,237,242,2,8473
483,238,986,2,6496
484,239,933,1,20631
485,239,88,1,21012
486,239,606,1,22533
487,240,215,1,8148
488,240,447,2,19085
489,241,94,2,15071
490,242,845,2,18247
491,243,461,2,21013
492,243,320,1,2243
493,244,665,2,9532
494,244,589,1,13893
495,245,902,1,17437
496,245,863,2,17512
497,245,31,1,7294
498,246,131,1,9834
499,246,58,2,6010
500,246,106,1,21521
501,247,214,1,9356
502,247,926,1,3636
503,248,314,2,6347
504,249,301,2,6770
505,249,69,2,16717
506,249,745,1,20889
507,250,882,1,1456
508,251,299,1,6367
509,251,59,2,19766
510,252,209,2,5393
511,253,74,2,18822
512,253,633,2,15404
513,254,539,1,8689
514,254,4,2,4848
515,254,881,1,9930
516,255,499,2,10368
517,255,97,2,8447
518,255,650,1,11439
519,256,274,2,5684
520,256,708,1,23078
521,256,663,2,16556
522,257,917,2,23750
523,257,399,1,4962
524,257,236,2,19250
525,258,919,1,23308
526,258,75,1,18818
527,258,991,1,23948
528,259,725,1,12477
529,259,162,1,12524
530,260,326,1,21681
531,260,793,2,24146
532,260,298,2,17901
533,261,685,2,17005
534,261,347,1,5521
535,261,593,2,15308
536,262,105,2,23909
537,262,649,2,9331
538,263,9,1,21421
539,263,158,1,21935
540,264,227,2,5069
541,264,309,2,1132
542,265,286,1,4464
543,265,57,1,2123
544,265,118,2,18119
545,266,157,1,21800
546,266,260,1,24945
547,266,1,1,23840
548,267,95,1,5196
549,267,731,2,12590
550,267,458,2,8782
551,268,278,1,9855
552,268,757,1,4263
553,269,971,2,3357
554,270,874,2,1016
555,270,90,2,20518
556,270,40,2,7684
557,271,818,2,7074
558,271,88,1,13959
559,271,454,2,19941
560,272,95,1,6334
561,273,964,1,16064
562,273,145,2,17212
563,273,348,2,23272
