OrderID,CustomerID,OrderDate,Status,TotalAmount
1,2354,2025-01-04,Processing,61148
2,2230,2025-07-28,Delivered,44111
3,2028,2025-03-08,Shipped,82748
4,225,2026-01-06,Delivered,38870
5,1288,2026-01-18,Processing,21035
6,796,2026-04-14,Delivered,47988
7,346,2025-06-26,Delivered,10065
8,1122,2025-11-13,Processing,51621
9,1866,2026-05-11,Processing,18268
10,1570,2025-08-23,Processing,99843
11,1720,2025-12-06,Shipped,37769
12,1774,2026-02-05,Shipped,17020
13,1419,2025-03-02,Shipped,30794
14,1981,2026-04-18,Delivered,63608
15,405,2026-04-23,Shipped,31362
16,683,2026-03-04,Shipped,2574
17,2487,2025-12-19,Delivered,4945
18,67,2026-06-13,Shipped,5953
19,2978,2025-10-27,Shipped,46457
20,557,2025-06-26,Shipped,35720
21,2329,2026-04-18,Shipped,27741
22,2953,2025-07-31,Delivered,23342
23,1321,2025-03-22,Shipped,17050
24,1254,2025-11-26,Shipped,61384
25,854,2026-06-10,Delivered,68393
26,2754,2026-02-23,Processing,31678
27,918,2026-01-20,Delivered,18796
28,2227,2025-11-18,Processing,33046
29,2253,2025-03-01,Processing,66954
30,1713,2025-10-07,Processing,27384
31,2912,2025-12-14,Processing,47530
32,146,2025-08-23,Shipped,27212
33,2057,2025-03-11,Delivered,65245
34,2540,2026-01-26,Processing,30571
35,416,2025-09-09,Processing,41072
36,136,2025-01-05,Shipped,36778
37,634,2025-11-16,Processing,48882
38,547,2026-01-21,Shipped,62240
39,1193,2026-03-27,Delivered,13354
40,2311,2026-04-16,Shipped,45352
41,842,2025-10-22,Processing,17040
42,2647,2025-10-20,Processing,18042
43,40,2026-04-23,Processing,40951
44,2979,2026-05-26,Shipped,75806
45,2824,2026-04-22,Shipped,61148
46,2180,2026-04-09,Shipped,4920
47,303,2026-04-01,Delivered,10564
48,239,2025-01-14,Shipped,24219
49,206,2025-09-02,Processing,47501
50,2071,2025-01-16,Shipped,24377
51,1355,2026-06-05,Shipped,40678
52,2287,2025-10-19,Delivered,38220
53,1212,2026-02-02,Processing,94779
54,1687,2025-04-04,Shipped,82033
55,997,2026-05-01,Delivered,77585
56,1598,2026-03-30,Processing,40080
57,2282,2025-06-30,Processing,19132
58,2400,2026-03-26,Processing,49352
59,1873,2026-01-29,Processing,51571
60,614,2026-05-09,Delivered,4757
61,2668,2026-06-28,Shipped,12046
62,510,2025-08-18,Delivered,47226
63,2972,2025-10-26,Shipped,14166
64,426,2025-04-25,Processing,31575
65,2583,2025-03-24,Shipped,44199
66,2174,2025-10-30,Delivered,51680
67,1674,2025-08-20,Delivered,26740
68,2196,2025-12-20,Shipped,42178
69,2768,2026-06-13,Processing,7589
70,939,2026-02-12,Delivered,70235
71,1328,2026-05-01,Processing,32394
72,1507,2026-02-08,Processing,49837
73,2541,2026-02-16,Shipped,61541
74,348,2026-05-23,Shipped,74390
75,1444,2026-05-10,Shipped,31244
76,811,2025-01-17,Delivered,55426
77,452,2026-06-06,Delivered,87443
78,475,2025-09-03,Delivered,21869
79,1982,2025-04-26,Processing,31975
80,2799,2025-07-29,Delivered,76420
81,1046,2026-03-05,Delivered,47390
82,458,2026-01-30,Delivered,68657
83,481,2026-03-31,Shipped,50654
84,2232,2025-12-31,Delivered,11000
85,1570,2025-06-27,Delivered,58819
86,2522,2025-02-13,Delivered,34580
87,53,2025-04-22,Processing,35992
88,2013,2025-06-05,Delivered,33729
89,88,2026-02-18,Shipped,17533
90,538,2025-05-05,Processing,83716
91,2980,2025-12-29,Delivered,41183
92,273,2025-12-31,Shipped,8372
93,273,2026-06-19,Shipped,37640
94,1592,2025-03-01,Delivered,10286
95,1362,2026-06-01,Processing,50978
96,247,2026-04-01,Processing,38885
97,774,2025-01-14,Processing,78955
98,692,2025-08-01,Shipped,43182
99,1573,2025-06-26,Shipped,13576
100,1736,2026-06-27,Shipped,27556
101,2822,2025-08-08,Shipped,92924
102,2839,2025-02-05,Processing,17732
103,2875,2025-11-30,Processing,74552
104,1780,2026-01-24,Shipped,35010
105,2816,2025-08-05,Shipped,47452
106,1182,2025-08-31,Shipped,35670
107,1220,2025-05-03,Delivered,82312
108,256,2026-03-17,Shipped,32711
109,1661,2026-01-27,Processing,2270
110,2260,2025-03-09,Shipped,33864
111,315,2025-07-02,Delivered,3510
112,248,2025-03-10,Shipped,43962
113,2044,2025-07-09,Delivered,45727
114,2603,2025-04-15,Shipped,42397
115,1715,2026-06-15,Processing,38139
116,156,2025-06-19,Delivered,22738
117,152,2025-04-21,Processing,4643
118,2351,2025-09-12,Delivered,37153
119,1163,2025-01-11,Shipped,52163
120,637,2026-02-22,Processing,53968
121,541,2026-04-17,Delivered,7096
122,2895,2025-01-18,Processing,97254
123,2540,2025-04-01,Processing,14366
124,1084,2025-09-13,Shipped,15882
125,2367,2025-05-30,Shipped,14958
126,1545,2026-05-21,Delivered,63238
127,2777,2025-06-01,Processing,14427
128,2170,2025-11-15,Delivered,24073
129,345,2025-10-22,Shipped,6425
130,2911,2025-06-14,Processing,3988
131,893,2026-01-22,Processing,10339
132,2977,2026-06-07,Processing,18838
133,2358,2025-06-20,Delivered,71685
134,185,2025-07-08,Processing,36886
135,1250,2025-08-13,Shipped,61876
136,1172,2026-01-25,Delivered,16588
137,2308,2025-04-12,Shipped,53834
138,2156,2026-01-25,Delivered,3068
139,1650,2025-03-30,Shipped,19574
140,3000,2026-01-21,Processing,115513
141,1389,2025-11-05,Delivered,94634
142,638,2025-10-04,Delivered,65071
143,1423,2025-12-16,Processing,12422
144,2499,2025-10-17,Delivered,24029
145,529,2025-04-09,Shipped,12127
146,2083,2026-03-22,Shipped,22087
147,2228,2025-11-22,Processing,34419
148,2136,2025-03-25,Shipped,16536
149,11,2025-05-28,Shipped,28515
150,713,2026-05-20,Delivered,44336
151,1833,2025-03-01,Delivered,16454
152,734,2025-12-31,Processing,34364
153,777,2025-01-07,Processing,10982
154,2257,2025-10-09,Processing,35448
155,1386,2025-05-22,Shipped,49096
156,2884,2025-01-22,Processing,22741
157,2351,2025-11-28,Processing,38777
158,2691,2025-10-02,Delivered,66898
159,2499,2025-02-07,Processing,21963
160,1890,2025-04-12,Processing,40653
161,625,2026-06-30,Processing,49744
162,23,2025-03-27,Processing,36087
163,1536,2025-06-06,Delivered,4347
164,1849,2026-03-17,Processing,10563
165,1613,2025-04-14,Processing,23744
166,2222,2025-11-26,Processing,68354
167,2790,2025-04-05,Processing,68301
168,2113,2025-06-25,Delivered,59446
169,438,2025-09-18,Delivered,17826
170,2910,2025-07-20,Shipped,30451
171,147,2025-04-03,Processing,77879
172,1647,2025-05-22,Delivered,60026
173,2770,2025-01-08,Delivered,82832
174,1133,2026-03-27,Shipped,54858
175,1961,2026-05-09,Processing,22803
176,1885,2026-06-10,Processing,24201
177,323,2025-12-06,Shipped,42818
178,466,2025-07-31,Delivered,41347
179,1533,2025-03-16,Shipped,37892
180,2616,2025-02-20,Shipped,45840
181,392,2026-02-18,Shipped,84224
182,2901,2026-03-11,Delivered,57332
183,457,2026-04-01,Delivered,97200
184,2993,2025-06-10,Delivered,23174
185,1767,2025-10-27,Delivered,38624
186,2256,2025-06-04,Shipped,22888
187,77,2026-05-25,Delivered,4216
188,1662,2025-09-21,Shipped,47542
189,113,2026-06-05,Delivered,77692
190,2549,2025-03-05,Processing,10007
191,547,2025-10-22,Processing,51420
192,2803,2026-05-03,Shipped,23270
193,2785,2025-09-21,Shipped,26846
194,2844,2026-04-06,Delivered,12578
195,2798,2026-06-08,Processing,39896
196,2484,2025-03-14,Shipped,84553
197,1701,2025-05-19,Shipped,75768
198,152,2025-08-19,Delivered,83353
199,2545,2026-07-02,Processing,14257
200,1360,2026-03-16,Shipped,59362
201,1499,2025-04-02,Shipped,23630
202,861,2026-07-04,Processing,5793
203,2487,2025-08-02,Processing,18419
204,2436,2025-06-10,Processing,28679
205,1254,2026-05-24,Shipped,37922
206,2857,2025-08-21,Shipped,9573
207,1474,2025-08-26,Shipped,29668
208,1889,2025-12-17,Processing,36519
209,1164,2025-06-06,Processing,45342
210,973,2025-04-24,Delivered,4453
211,2614,2025-02-01,Processing,11964
212,1039,2026-02-08,Delivered,19949
213,509,2026-05-18,Delivered,7266
214,778,2025-07-17,Processing,29244
215,2816,2025-08-14,Shipped,24815
216,486,2025-09-04,Shipped,28246
217,1831,2026-01-27,Delivered,15385
218,2873,2025-03-01,Shipped,64156
219,756,2025-07-19,Delivered,35855
220,2243,2026-04-10,Delivered,17802
221,1843,2025-02-12,Processing,35554
222,1032,2025-05-27,Shipped,96626
223,2983,2025-04-11,Processing,47456
224,430,2025-03-17,Delivered,62305
225,1465,2025-09-09,Processing,26065
226,1655,2025-08-03,Shipped,68006
227,2832,2025-02-24,Delivered,5059
228,1848,2025-03-15,Shipped,50351
229,76,2025-07-29,Processing,6264
230,1174,2025-03-04,Processing,72967
231,2069,2025-01-20,Delivered,22422
232,369,2025-01-17,Shipped,21997
233,730,2026-04-30,Processing,52053
234,1671,2025-02-03,Delivered,2958
235,2145,2025-09-18,Delivered,35959
236,2386,2025-12-02,Processing,9685
237,915,2026-03-16,Processing,16946
238,2488,2026-01-01,Processing,12992
239,2523,2025-07-26,Delivered,64176
240,1703,2026-06-19,Shipped,46318
241,364,2026-04-04,Delivered,30142
242,327,2025-01-22,Processing,36494
243,1415,2026-04-28,Processing,44269
244,3000,2025-12-18,Processing,32957
245,729,2025-02-24,Shipped,59755
246,2906,2025-08-15,Shipped,43375
247,996,2025-08-21,Shipped,12992
248,2005,2026-05-10,Shipped,12694
249,2121,2026-06-08,Delivered,67863
250,2013,2025-09-27,Processing,1456
251,2563,2025-08-10,Processing,45899
252,400,2025-04-29,Processing,10786
253,1877,2025-05-06,Delivered,68452
254,2581,2025-12-23,Shipped,28315
255,99,2025-05-26,Processing,49069
256,1035,2025-01-05,Shipped,67558
257,1733,2025-03-06,Shipped,90962
258,1340,2025-12-01,Processing,66074
259,2595,2026-06-27,Shipped,25001
260,1871,2025-01-23,Delivered,105775
261,735,2025-03-25,Delivered,70147
262,43,2026-02-23,Shipped,66480
263,929,2025-01-12,Delivered,43356
264,1850,2026-05-03,Delivered,12402
265,911,2025-02-12,Processing,42825
266,303,2026-04-17,Delivered,70585
267,1165,2025-10-15,Shipped,47940
268,2799,2026-03-02,Processing,14118
269,2246,2025-10-28,Shipped,6714
270,340,2025-07-28,Delivered,58436
271,1577,2025-06-22,Shipped,67989
272,1447,2025-03-19,Shipped,6334
273,1533,2026-01-10,Processing,97032
274,2735,2026-05-03,Shipped,7136
275,838,2025-12-29,Shipped,65488
276,1807,2025-08-18,Processing,39646
277,2936,2025-01-24,Shipped,41332
278,245,2026-05-14,Processing,23628
279,1968,2026-05-01,Shipped,10020
280,563,2025-10-19,Shipped,31024
281,2441,2025-03-24,Processing,42958
282,1610,2026-06-25,Shipped,68957
283,1003,2026-03-21,Processing,23257
284,433,2025-12-28,Processing,68282
285,683,2026-04-08,Delivered,13183
286,2677,2025-11-16,Shipped,34465
287,1725,2026-01-29,Shipped,53641
288,511,2026-06-05,Shipped,74704
289,1647,2025-05-25,Delivered,30814
290,1775,2025-08-01,Shipped,12013
291,1560,2026-05-09,Delivered,11468
292,596,2025-03-26,Processing,5650
293,1133,2025-07-09,Shipped,47734
294,2151,2025-05-01,Shipped,75820
295,1380,2025-02-26,Delivered,64486
296,2056,2025-04-30,Processing,7378
297,2844,2026-04-03,Shipped,82246
298,1305,2026-06-07,Delivered,36040
299,2595,2026-01-30,Shipped,46652
300,2165,2025-06-09,Delivered,49726
301,4,2025-11-11,Shipped,64510
302,1916,2025-07-10,Delivered,48074
303,2210,2025-01-09,Processing,5664
304,1249,2025-07-19,Processing,20770
305,526,2025-09-18,Shipped,35110
306,375,2025-03-27,Shipped,6264
307,1512,2025-02-09,Shipped,36484
308,1374,2025-04-16,Delivered,43490
309,1098,2025-05-06,Processing,13598
310,1851,2025-10-09,Delivered,47853
311,901,2025-05-29,Processing,1767
312,1712,2025-10-30,Shipped,29882
313,2423,2025-04-08,Shipped,54664
314,1934,2026-05-21,Processing,57527
315,1734,2025-07-02,Delivered,31464
316,2111,2025-08-06,Processing,37613
317,627,2026-04-17,Delivered,56884
318,2877,2026-06-13,Processing,40468
319,2322,2025-06-29,Processing,29678
320,2611,2025-09-24,Shipped,97548
321,2718,2026-02-28,Delivered,15340
322,17,2025-01-15,Shipped,35012
323,2463,2025-03-22,Delivered,12930
324,872,2025-06-04,Processing,18714
325,589,2025-07-28,Processing,21154
326,1501,2026-03-05,Processing,41881
327,333,2025-11-16,Shipped,37715
328,161,2025-07-24,Shipped,22930
329,1540,2025-09-13,Delivered,23314
330,1001,2025-08-10,Processing,21978
331,2518,2025-10-05,Delivered,38884
332,298,2025-02-28,Delivered,46359
333,2714,2025-03-14,Delivered,34372
334,2204,2026-04-11,Delivered,84930
335,1557,2025-03-23,Processing,61258
336,1953,2025-09-23,Delivered,64386
337,2925,2026-02-13,Shipped,12535
338,1405,2025-06-07,Processing,58066
339,2380,2026-04-18,Delivered,15640
340,1569,2025-10-17,Processing,41370
341,202,2026-02-15,Delivered,33706
342,908,2025-04-29,Delivered,9398
343,2524,2026-01-02,Processing,17292
344,2757,2025-08-28,Processing,86025
345,715,2025-08-21,Processing,10814
346,2657,2025-11-19,Delivered,18056
347,2705,2026-07-04,Processing,42206
348,2610,2026-05-16,Delivered,12780
349,524,2025-09-21,Processing,17656
350,2466,2025-11-27,Delivered,26039
351,934,2025-04-02,Processing,18705
352,138,2025-03-11,Shipped,2359
353,2030,2025-11-27,Delivered,39971
354,1746,2025-02-04,Delivered,48786
355,128,2026-01-14,Shipped,54889
356,2470,2026-03-20,Processing,44377
357,2560,2025-10-23,Delivered,3544
358,2047,2026-03-16,Shipped,55196
359,1178,2025-11-15,Shipped,34744
360,2447,2026-03-16,Shipped,47794
361,35,2025-03-02,Delivered,57520
362,539,2025-03-04,Shipped,34442
363,2409,2025-03-07,Processing,4962
364,1535,2025-02-08,Delivered,64109
365,1369,2025-02-06,Shipped,49164
366,476,2026-01-04,Shipped,87028
367,1142,2026-03-10,Processing,31221
368,11,2025-10-06,Processing,46586
369,1623,2026-05-31,Shipped,34353
370,197,2025-12-20,Delivered,49871
371,2085,2026-05-21,Shipped,70843
372,1727,2026-07-02,Shipped,22449
373,416,2026-03-28,Delivered,66043
374,2043,2025-07-26,Delivered,26664
375,1974,2025-05-16,Delivered,50744
376,1692,2025-12-13,Processing,27006
377,2612,2025-05-02,Processing,60173
378,223,2025-11-03,Delivered,26987
379,2740,2025-04-09,Delivered,95085
380,1282,2026-03-19,Delivered,1451
381,1141,2025-09-16,Shipped,53003
382,356,2025-11-25,Shipped,40807
383,93,2026-04-22,Delivered,13367
384,2623,2025-01-01,Delivered,50868
385,1547,2026-01-18,Delivered,26498
386,2716,2025-06-08,Delivered,45972
387,2224,2026-02-25,Delivered,19827
388,2047,2025-09-17,Shipped,43567
389,1192,2025-11-17,Delivered,25402
390,692,2025-07-24,Shipped,24030
391,1907,2026-01-02,Delivered,46106
392,1256,2026-04-07,Shipped,14128
393,57,2025-11-01,Shipped,45061
394,922,2025-09-26,Delivered,18699
395,1498,2026-06-04,Shipped,24706
396,2153,2025-06-25,Delivered,71601
