PaymentID,OrderID,Method,PaymentStatus,Amount
1,1,Net Banking,Paid,61148
2,2,Net Banking,Paid,44111
3,3,Net Banking,Paid,82748
4,4,Debit Card,Paid,38870
5,5,COD,Paid,21035
6,6,Credit Card,Paid,47988
7,7,Net Banking,Paid,10065
8,8,Credit Card,Paid,51621
9,9,Net Banking,Paid,18268
10,10,UPI,Paid,99843
11,11,Net Banking,Paid,37769
12,12,Credit Card,Paid,17020
13,13,Credit Card,Paid,30794
14,14,Net Banking,Paid,63608
15,15,COD,Paid,31362
16,16,Debit Card,Paid,2574
17,17,UPI,Paid,4945
18,18,Net Banking,Paid,5953
19,19,COD,Paid,46457
20,20,UPI,Paid,35720
21,21,Net Banking,Paid,27741
22,22,COD,Paid,23342
23,23,Credit Card,Paid,17050
24,24,UPI,Paid,61384
25,25,UPI,Paid,68393
26,26,COD,Paid,31678
27,27,UPI,Paid,18796
28,28,COD,Paid,33046
29,29,Debit Card,Paid,66954
30,30,UPI,Paid,27384
31,31,Debit Card,Paid,47530
32,32,UPI,Paid,27212
33,33,Debit Card,Paid,65245
34,34,COD,Paid,30571
35,35,UPI,Paid,41072
36,36,Credit Card,Paid,36778
37,37,Credit Card,Paid,48882
38,38,Net Banking,Paid,62240
39,39,UPI,Paid,13354
40,40,Credit Card,Paid,45352
41,41,COD,Paid,17040
42,42,COD,Paid,18042
43,43,Debit Card,Paid,40951
44,44,UPI,Paid,75806
45,45,Debit Card,Paid,61148
46,46,Credit Card,Paid,4920
47,47,Debit Card,Paid,10564
48,48,Net Banking,Paid,24219
49,49,Debit Card,Paid,47501
50,50,Net Banking,Paid,24377
51,51,Debit Card,Paid,40678
52,52,Debit Card,Paid,38220
53,53,Debit Card,Paid,94779
54,54,COD,Paid,82033
55,55,Credit Card,Paid,77585
56,56,COD,Paid,40080
57,57,Debit Card,Paid,19132
58,58,Debit Card,Paid,49352
59,59,Credit Card,Paid,51571
60,60,Net Banking,Paid,4757
61,61,COD,Paid,12046
62,62,UPI,Paid,47226
63,63,UPI,Paid,14166
64,64,Net Banking,Paid,31575
65,65,UPI,Paid,44199
66,66,Net Banking,Paid,51680
67,67,UPI,Paid,26740
68,68,COD,Paid,42178
69,69,UPI,Paid,7589
70,70,Debit Card,Paid,70235
71,71,Debit Card,Paid,32394
72,72,Debit Card,Paid,49837
73,73,UPI,Paid,61541
74,74,UPI,Paid,74390
75,75,UPI,Paid,31244
76,76,Credit Card,Paid,55426
77,77,Net Banking,Paid,87443
78,78,COD,Paid,21869
79,79,UPI,Paid,31975
80,80,Debit Card,Paid,76420
81,81,UPI,Paid,47390
82,82,Net Banking,Paid,68657
83,83,COD,Paid,50654
84,84,UPI,Paid,11000
85,85,UPI,Paid,58819
86,86,UPI,Paid,34580
87,87,UPI,Paid,35992
88,88,UPI,Paid,33729
89,89,UPI,Paid,17533
90,90,Net Banking,Paid,83716
91,91,COD,Paid,41183
92,92,COD,Paid,8372
93,93,Credit Card,Paid,37640
94,94,COD,Paid,10286
95,95,Net Banking,Paid,50978
96,96,Debit Card,Paid,38885
97,97,Net Banking,Paid,78955
98,98,Net Banking,Paid,43182
99,99,Debit Card,Paid,13576
100,100,UPI,Paid,27556
101,101,COD,Paid,92924
102,102,COD,Paid,17732
103,103,Credit Card,Paid,74552
104,104,Debit Card,Paid,35010
105,105,COD,Paid,47452
106,106,Debit Card,Paid,35670
107,107,Net Banking,Paid,82312
108,108,Debit Card,Paid,32711
109,109,Debit Card,Paid,2270
110,110,Credit Card,Paid,33864
111,111,COD,Paid,3510
112,112,COD,Paid,43962
113,113,Credit Card,Paid,45727
114,114,UPI,Paid,42397
115,115,Credit Card,Paid,38139
116,116,Credit Card,Paid,22738
117,117,Net Banking,Paid,4643
118,118,COD,Paid,37153
119,119,Credit Card,Paid,52163
120,120,Net Banking,Paid,53968
121,121,Debit Card,Paid,7096
122,122,UPI,Paid,97254
123,123,Credit Card,Paid,14366
124,124,Net Banking,Paid,15882
125,125,Debit Card,Paid,14958
126,126,Net Banking,Paid,63238
127,127,Credit Card,Paid,14427
128,128,COD,Paid,24073
129,129,Credit Card,Paid,6425
130,130,Debit Card,Paid,3988
131,131,Credit Card,Paid,10339
132,132,Debit Card,Paid,18838
133,133,UPI,Paid,71685
134,134,UPI,Paid,36886
135,135,Debit Card,Paid,61876
136,136,Credit Card,Paid,16588
137,137,Credit Card,Paid,53834
138,138,Credit Card,Paid,3068
139,139,UPI,Paid,19574
140,140,Net Banking,Paid,115513
141,141,Debit Card,Paid,94634
142,142,Net Banking,Paid,65071
143,143,UPI,Paid,12422
144,144,Net Banking,Paid,24029
145,145,Credit Card,Paid,12127
146,146,Credit Card,Paid,22087
147,147,UPI,Paid,34419
148,148,UPI,Paid,16536
149,149,Debit Card,Paid,28515
150,150,Credit Card,Paid,44336
151,151,UPI,Paid,16454
152,152,Debit Card,Paid,34364
153,153,UPI,Paid,10982
154,154,UPI,Paid,35448
155,155,UPI,Paid,49096
156,156,COD,Paid,22741
157,157,UPI,Paid,38777
158,158,Credit Card,Paid,66898
159,159,Net Banking,Paid,21963
160,160,Debit Card,Paid,40653
161,161,COD,Paid,49744
162,162,COD,Paid,36087
163,163,UPI,Paid,4347
164,164,Net Banking,Paid,10563
165,165,COD,Paid,23744
166,166,Net Banking,Paid,68354
167,167,Net Banking,Paid,68301
168,168,UPI,Paid,59446
