ProductID,VendorID,CategoryID,SubCategoryID,ProductName,Price,Discount,Rating,Color,StrapMaterial,WarrantyMonths,Stock
1,11,1,2,Citizen Model 1,2433,10,4.3,Silver,Leather,36,223
2,1,1,5,Titan Model 2,19772,25,4.3,Green,Leather,36,287
3,12,1,6,Maxima Model 3,7286,0,4.7,Green,Nylon,36,137
4,8,1,5,Noise Model 4,9771,20,4.9,Gold,Rubber,24,136
5,8,1,2,Noise Model 5,5172,5,4.6,Blue,Rubber,36,196
6,7,2,7,Boat Model 6,2254,20,4.5,Gold,Silicone,36,253
7,7,1,1,Boat Model 7,5194,20,4.8,Silver,Metal,36,133
8,4,1,2,Casio Model 8,10184,0,4.2,Silver,Rubber,36,139
9,12,2,8,Maxima Model 9,9617,15,3.9,Brown,Metal,36,216
10,11,3,15,Citizen Model 10,4770,20,4.6,Blue,Silicone,36,101
11,11,1,4,Citizen Model 11,22529,15,4.4,Brown,Leather,36,36
12,10,3,12,Ajanta Model 12,2814,0,4.1,Gold,Silicone,24,62
13,10,2,7,Ajanta Model 13,990,20,4.1,Brown,Nylon,36,258
14,12,3,13,Maxima Model 14,15055,0,3.9,Silver,Nylon,12,109
15,4,3,15,Casio Model 15,6481,10,4.5,Black,Nylon,24,219
16,8,1,1,Noise Model 16,15824,20,4.3,Brown,Rubber,24,152
17,9,1,2,Fire-Boltt Model 17,833,5,4.5,Gold,Rubber,36,258
18,12,2,9,Maxima Model 18,10559,15,3.7,Gold,Leather,36,202
19,4,1,5,Casio Model 19,9042,5,3.9,Brown,Rubber,36,122
20,6,2,10,Fossil Model 20,10997,10,4.1,Blue,Metal,24,203
21,7,3,15,Boat Model 21,14802,0,4.4,Green,Rubber,36,45
22,4,1,3,Casio Model 22,1049,20,4.3,Blue,Silicone,12,167
23,9,1,3,Fire-Boltt Model 23,13994,0,4.0,Blue,Rubber,24,208
24,5,2,8,Timex Model 24,2459,10,5.0,Blue,Leather,36,298
25,12,2,9,Maxima Model 25,18026,5,4.6,Gold,Rubber,36,106
26,9,3,13,Fire-Boltt Model 26,23351,5,3.7,Gold,Rubber,36,57
27,3,1,5,Fastrack Model 27,18177,10,4.2,Brown,Leather,36,195
28,8,3,13,Noise Model 28,7745,0,4.7,Silver,Nylon,12,132
29,9,3,12,Fire-Boltt Model 29,8503,25,3.6,Blue,Nylon,24,197
30,8,1,1,Noise Model 30,4222,5,3.7,Black,Leather,24,201
31,11,2,9,Citizen Model 31,9090,0,3.6,Silver,Nylon,12,208
32,6,2,10,Fossil Model 32,1109,10,4.4,Brown,Nylon,12,196
33,11,2,7,Citizen Model 33,22960,20,5.0,Gold,Silicone,24,230
34,12,2,7,Maxima Model 34,9015,5,4.1,Blue,Nylon,36,77
35,3,1,4,Fastrack Model 35,4847,0,3.9,Silver,Rubber,24,205
36,9,1,6,Fire-Boltt Model 36,22007,5,4.9,Green,Metal,24,262
37,7,2,11,Boat Model 37,10750,15,4.3,Silver,Metal,24,43
38,4,1,5,Casio Model 38,22135,20,4.8,Silver,Nylon,12,38
39,6,3,15,Fossil Model 39,21368,0,4.5,Green,Nylon,24,72
40,11,2,7,Citizen Model 40,15014,25,4.4,Brown,Leather,12,295
41,4,3,14,Casio Model 41,5431,5,3.7,Black,Silicone,12,203
42,8,2,9,Noise Model 42,21216,20,3.9,Black,Metal,36,287
43,12,2,9,Maxima Model 43,2223,10,5.0,Blue,Leather,12,167
44,1,2,11,Titan Model 44,15046,5,4.2,Green,Rubber,24,35
45,3,2,10,Fastrack Model 45,17183,0,4.9,Brown,Metal,24,276
46,1,1,2,Titan Model 46,18700,20,4.3,Brown,Rubber,36,5
47,4,3,13,Casio Model 47,20105,25,4.5,Gold,Metal,12,70
48,8,1,4,Noise Model 48,15969,15,4.7,Blue,Silicone,12,80
49,12,1,5,Maxima Model 49,3490,25,4.2,Silver,Metal,36,242
50,11,1,4,Citizen Model 50,14764,5,3.8,Black,Nylon,36,191
51,1,1,1,Titan Model 51,6113,10,3.8,Brown,Leather,24,219
52,4,1,6,Casio Model 52,10921,10,4.5,Green,Silicone,12,95
53,10,1,2,Ajanta Model 53,23763,10,4.8,Blue,Metal,12,205
54,4,1,2,Casio Model 54,15208,25,4.4,Black,Rubber,12,123
55,11,2,7,Citizen Model 55,12109,10,4.1,Green,Rubber,24,163
56,1,2,8,Titan Model 56,5952,20,3.5,Green,Leather,12,273
57,6,1,5,Fossil Model 57,22945,20,4.7,Black,Leather,12,47
58,10,1,3,Ajanta Model 58,17378,10,4.3,Silver,Nylon,24,251
59,8,1,3,Noise Model 59,19539,0,3.7,Brown,Leather,24,5
60,12,3,15,Maxima Model 60,5326,20,4.0,Black,Nylon,12,236
61,6,3,15,Fossil Model 61,17911,10,4.6,Brown,Metal,36,182
62,2,3,13,Sonata Model 62,9508,15,4.4,Blue,Silicone,12,73
63,9,1,2,Fire-Boltt Model 63,15235,0,4.2,Brown,Rubber,24,232
64,12,3,13,Maxima Model 64,18501,10,4.3,Green,Metal,36,192
65,7,2,10,Boat Model 65,5515,20,4.4,Silver,Metal,36,178
66,10,2,8,Ajanta Model 66,21017,10,4.1,Gold,Nylon,24,23
67,3,2,9,Fastrack Model 67,8771,10,4.6,Gold,Silicone,36,37
68,5,1,5,Timex Model 68,9005,20,4.6,Brown,Leather,12,93
69,4,1,1,Casio Model 69,20425,20,3.8,Green,Rubber,12,95
70,6,2,8,Fossil Model 70,4847,15,3.9,Green,Metal,36,200
71,1,3,13,Titan Model 71,15256,5,4.9,Black,Leather,12,246
72,11,2,9,Citizen Model 72,5089,25,4.8,Green,Rubber,12,115
73,4,2,9,Casio Model 73,7937,25,3.6,Brown,Nylon,12,292
74,9,2,11,Fire-Boltt Model 74,16241,15,4.7,Silver,Silicone,12,16
