RecommendationID,CustomerID,RecommendedProductID,Score
1,1183,320,0.78
2,1572,657,0.82
3,515,692,0.58
4,2000,372,0.52
5,1294,510,0.98
6,1781,694,0.73
7,1050,398,0.87
8,2631,20,0.81
9,337,64,0.7
10,1719,745,0.76
11,755,615,0.68
12,2982,820,0.72
13,2080,32,0.96
14,2996,146,0.67
15,641,689,0.75
16,987,420,0.71
17,2191,644,0.89
18,644,210,0.54
19,2868,451,0.75
20,2637,314,0.8
21,430,785,0.8
22,1256,574,0.62
23,1897,335,0.68
24,1321,303,0.77
25,1758,368,0.65
26,859,459,0.86
27,1965,136,0.97
28,442,849,0.6
29,1491,644,0.92
30,1195,94,0.96
31,1234,797,0.59
32,2024,210,0.58
33,1278,38,0.97
34,2942,754,0.96
35,369,229,0.63
36,1906,122,0.78
37,429,273,0.57
38,2411,921,0.89
39,2116,47,0.75
40,928,440,0.75
41,729,767,0.88
42,2965,982,0.52
43,1080,145,0.89
44,1510,905,0.96
45,2859,352,0.6
46,2718,260,0.93
47,672,571,0.79
48,1419,661,0.89
49,1686,160,0.57
50,2119,339,0.91
51,749,647,0.63
52,2599,166,0.86
53,1917,609,0.64
54,334,675,0.56
55,2426,440,0.52
56,2434,974,0.74
57,2623,565,0.96
58,2875,825,0.81
59,2060,984,0.94
60,1298,349,0.52
61,2665,471,0.54
62,2405,314,0.94
63,242,679,0.77
64,359,13,0.59
65,1423,313,0.56
66,2387,892,0.51
67,2403,644,0.74
68,34,666,0.67
69,2170,990,0.91
70,520,981,0.88
71,1070,836,0.95
72,662,476,0.75
73,1231,49,0.66
74,774,960,0.58
75,749,634,0.53
76,149,865,0.51
77,1332,813,0.93
78,383,554,0.81
79,2137,996,0.58
80,522,643,0.61
81,2123,68,0.63
82,2846,520,0.62
83,2115,754,0.71
84,1718,816,0.79
85,2526,755,0.53
86,2156,638,0.98
87,2079,928,0.7
88,1135,820,0.5
89,2592,782,0.66
90,154,534,0.57
91,2722,197,0.74
92,2346,256,0.59
93,2587,503,0.7
94,1632,572,0.83
95,264,914,0.55
96,2109,300,0.55
97,1858,381,0.52
98,2253,313,0.57
99,1932,419,0.92
100,2368,179,0.78
101,1872,818,0.59
102,2459,192,0.89
103,325,458,0.64
104,91,732,0.68
105,793,510,0.56
106,166,526,0.65
107,1364,79,0.54
108,1853,592,0.84
109,1039,451,0.93
110,715,962,0.54
111,1877,934,0.7
112,857,666,0.91
113,1182,792,0.75
114,1651,46,0.73
115,2003,256,0.97
116,2975,485,0.93
117,900,595,0.94
118,1562,6,0.85
119,2413,752,0.97
120,49,5,0.83
121,2079,864,0.75
122,807,765,0.55
123,1067,908,0.75
124,2406,836,0.89
125,840,715,0.76
126,2292,4,0.91
127,292,683,0.68
128,597,110,0.55
129,1244,826,0.87
130,772,832,0.79
131,2938,684,0.77
132,2634,400,0.72
133,857,916,0.62
134,2173,159,0.7
135,2140,32,0.63
136,2578,476,0.67
137,1543,472,0.79
138,1345,952,0.56
139,1747,44,0.74
140,1267,347,0.86
141,1712,501,0.63
142,670,176,0.64
143,696,17,0.96
144,2730,151,0.82
145,1083,437,0.94
146,644,119,0.98
147,1425,355,0.87
148,473,42,0.5
149,2813,231,0.75
150,57,158,0.81
151,506,990,0.92
152,1647,400,0.74
153,1307,440,0.71
154,1611,464,0.95
155,842,902,0.79
156,1074,81,0.87
157,1892,405,0.77
158,2611,411,0.91
159,2860,785,0.86
160,2228,22,0.59
161,2373,396,0.84
162,1031,218,0.82
163,2992,258,0.6
164,1915,720,0.8
165,2817,591,0.74
166,2311,572,0.78
