Date,Orders,Revenue,UnitsSold
2025-01-01,72,489476,124
2025-01-02,117,239244,75
2025-01-03,64,320165,112
2025-01-04,99,288119,143
2025-01-05,116,339477,247
2025-01-06,64,420583,77
2025-01-07,95,51571,247
2025-01-08,43,394466,149
2025-01-09,65,253185,97
2025-01-10,82,338547,62
2025-01-11,102,311760,209
2025-01-12,32,305749,177
2025-01-13,48,596141,246
2025-01-14,100,433296,209
2025-01-15,28,488132,237
2025-01-16,49,340741,137
2025-01-17,109,219770,77
2025-01-18,45,562550,231
2025-01-19,106,229334,204
2025-01-20,69,62837,131
2025-01-21,84,266357,199
2025-01-22,64,259043,69
2025-01-23,37,162647,135
2025-01-24,105,424778,160
2025-01-25,81,503471,111
2025-01-26,27,125563,70
2025-01-27,98,225960,123
2025-01-28,45,198494,249
2025-01-29,108,472801,170
2025-01-30,42,578796,88
2025-01-31,82,472031,225
2025-02-01,118,532066,237
2025-02-02,57,565130,55
2025-02-03,25,324519,210
2025-02-04,47,462843,75
2025-02-05,116,83955,144
2025-02-06,100,567250,171
2025-02-07,24,515140,108
2025-02-08,65,157400,69
2025-02-09,38,394784,78
2025-02-10,29,98851,44
2025-02-11,88,598788,69
2025-02-12,120,390023,212
2025-02-13,33,582979,177
2025-02-14,111,464969,125
2025-02-15,79,113929,164
2025-02-16,108,243294,219
2025-02-17,82,82320,135
2025-02-18,79,371170,227
2025-02-19,118,438315,84
2025-02-20,60,300172,225
2025-02-21,28,323312,168
2025-02-22,95,415728,190
2025-02-23,69,213390,150
2025-02-24,54,537164,84
2025-02-25,102,231789,235
2025-02-26,34,223732,81
2025-02-27,99,293137,66
2025-02-28,53,214931,159
2025-03-01,64,210455,190
2025-03-02,29,379311,67
2025-03-03,36,566077,151
2025-03-04,56,406322,168
2025-03-05,90,597563,205
2025-03-06,36,238756,232
2025-03-07,94,593606,234
2025-03-08,90,371763,58
2025-03-09,27,54040,110
2025-03-10,80,151155,101
2025-03-11,78,295274,102
2025-03-12,100,138222,121
2025-03-13,77,528364,173
2025-03-14,100,193909,92
2025-03-15,80,494254,145
2025-03-16,63,403953,74
2025-03-17,49,117920,145
2025-03-18,86,504557,65
2025-03-19,58,342873,77
2025-03-20,23,579958,79
2025-03-21,76,84439,55
2025-03-22,102,82606,217
2025-03-23,39,338035,203
2025-03-24,76,296414,89
2025-03-25,76,596769,176
2025-03-26,101,174580,82
2025-03-27,54,364455,146
2025-03-28,23,250549,126
2025-03-29,112,119717,155
2025-03-30,54,286001,211
2025-03-31,79,273016,124
2025-04-01,115,353807,231
2025-04-02,55,329668,120
2025-04-03,120,575966,203
2025-04-04,111,85163,136
2025-04-05,86,108413,231
2025-04-06,78,563197,125
2025-04-07,106,62094,205
2025-04-08,92,169458,146
2025-04-09,119,303679,96
2025-04-10,22,344398,223
2025-04-11,64,426620,221
2025-04-12,65,135521,231
2025-04-13,120,393454,128
2025-04-14,58,89102,157
2025-04-15,56,533861,142
2025-04-16,79,68910,88
2025-04-17,23,76668,127
2025-04-18,94,283580,204
2025-04-19,78,70099,113
2025-04-20,74,54273,62
2025-04-21,117,155587,146
2025-04-22,71,127905,202
2025-04-23,68,103827,73
2025-04-24,20,376047,216
2025-04-25,96,503376,229
2025-04-26,117,458440,157
2025-04-27,71,516544,89
2025-04-28,105,125584,66
2025-04-29,89,141193,71
2025-04-30,30,506220,192
2025-05-01,39,271697,126
2025-05-02,87,401387,143
2025-05-03,57,388628,240
2025-05-04,82,117912,45
2025-05-05,26,359281,96
2025-05-06,41,117113,92
