Vendor,Year,Month,Revenue,Orders
Titan,2025,1,514839,177
Titan,2025,2,2302443,372
Titan,2025,3,1109924,67
Titan,2025,4,365658,479
Titan,2025,5,2832107,166
Titan,2025,6,1748457,359
Titan,2025,7,868773,355
Titan,2025,8,2327356,123
Titan,2025,9,2715650,419
Titan,2025,10,2427727,491
Titan,2025,11,1078568,480
Titan,2025,12,2185953,404
Sonata,2025,1,1967476,372
Sonata,2025,2,337996,360
Sonata,2025,3,2211363,209
Sonata,2025,4,1542413,208
Sonata,2025,5,2891280,54
Sonata,2025,6,227195,92
Sonata,2025,7,1065163,470
Sonata,2025,8,1266848,99
Sonata,2025,9,2399651,264
Sonata,2025,10,2346701,140
Sonata,2025,11,1626270,488
Sonata,2025,12,1788392,367
Fastrack,2025,1,1829417,94
Fastrack,2025,2,553662,183
Fastrack,2025,3,2431001,98
Fastrack,2025,4,532192,338
Fastrack,2025,5,1264877,455
Fastrack,2025,6,2162428,494
Fastrack,2025,7,1925060,417
Fastrack,2025,8,1330526,367
Fastrack,2025,9,661154,389
Fastrack,2025,10,1144796,241
Fastrack,2025,11,360935,418
Fastrack,2025,12,1009622,73
Casio,2025,1,954209,159
Casio,2025,2,1237782,135
Casio,2025,3,2314826,343
Casio,2025,4,973638,160
Casio,2025,5,1298468,327
Casio,2025,6,2427900,111
Casio,2025,7,2654978,375
Casio,2025,8,2765490,162
Casio,2025,9,1584226,252
Casio,2025,10,2863358,339
Casio,2025,11,1044684,214
Casio,2025,12,2671652,420
Timex,2025,1,2422395,160
Timex,2025,2,594984,151
Timex,2025,3,758754,207
Timex,2025,4,1690939,391
Timex,2025,5,2451764,286
Timex,2025,6,2820874,221
Timex,2025,7,2152637,52
Timex,2025,8,1251809,132
Timex,2025,9,745923,166
Timex,2025,10,789505,271
Timex,2025,11,1714183,416
Timex,2025,12,2915497,433
Fossil,2025,1,1135310,351
Fossil,2025,2,1229730,499
Fossil,2025,3,1946767,467
Fossil,2025,4,1809651,105
Fossil,2025,5,2473120,408
Fossil,2025,6,2747828,411
Fossil,2025,7,1526248,311
Fossil,2025,8,2738397,460
Fossil,2025,9,231499,372
Fossil,2025,10,1416942,310
Fossil,2025,11,1299027,316
Fossil,2025,12,2653830,482
Boat,2025,1,550425,155
Boat,2025,2,755002,353
Boat,2025,3,2632168,443
Boat,2025,4,2627661,205
Boat,2025,5,2545400,188
Boat,2025,6,1963396,329
Boat,2025,7,2832322,124
Boat,2025,8,2506283,298
Boat,2025,9,2773313,306
Boat,2025,10,1070856,58
Boat,2025,11,822836,447
Boat,2025,12,2510927,62
Noise,2025,1,1908423,59
Noise,2025,2,902555,80
Noise,2025,3,757141,110
Noise,2025,4,2931860,303
Noise,2025,5,2119861,72
Noise,2025,6,2744550,121
Noise,2025,7,1605095,116
Noise,2025,8,1209936,79
Noise,2025,9,1550154,293
Noise,2025,10,222833,453
Noise,2025,11,746577,82
Noise,2025,12,1846470,274
Fire-Boltt,2025,1,1290235,141
Fire-Boltt,2025,2,468349,75
Fire-Boltt,2025,3,943488,160
Fire-Boltt,2025,4,2259276,169
Fire-Boltt,2025,5,1477911,269
Fire-Boltt,2025,6,1928935,130
Fire-Boltt,2025,7,704690,382
Fire-Boltt,2025,8,2274132,223
Fire-Boltt,2025,9,2588410,137
Fire-Boltt,2025,10,2231396,488
Fire-Boltt,2025,11,665880,56
Fire-Boltt,2025,12,961826,418
Ajanta,2025,1,335972,125
Ajanta,2025,2,1522528,447
Ajanta,2025,3,1434215,101
Ajanta,2025,4,2331145,204
Ajanta,2025,5,2751489,96
Ajanta,2025,6,2098528,357
Ajanta,2025,7,1208366,380
Ajanta,2025,8,823865,473
Ajanta,2025,9,2472600,348
Ajanta,2025,10,877898,436
Ajanta,2025,11,2727039,74
Ajanta,2025,12,221034,108
Citizen,2025,1,263094,461
Citizen,2025,2,762352,411
Citizen,2025,3,2349656,298
Citizen,2025,4,1761551,444
Citizen,2025,5,2958559,439
Citizen,2025,6,2650246,367
Citizen,2025,7,2757463,180
Citizen,2025,8,2549579,235
Citizen,2025,9,1619903,268
Citizen,2025,10,2713671,355
Citizen,2025,11,838282,165
Citizen,2025,12,977068,178
Maxima,2025,1,1198816,352
Maxima,2025,2,1458621,117
Maxima,2025,3,836788,147
Maxima,2025,4,1084955,196
Maxima,2025,5,1761391,205
Maxima,2025,6,2492899,143
Maxima,2025,7,2482045,473
Maxima,2025,8,1214777,451
Maxima,2025,9,1461265,481
Maxima,2025,10,1502971,72
Maxima,2025,11,602771,436
Maxima,2025,12,1766796,159
