WishlistID,CustomerID,ProductID,AddedDate
1,1657,11,2026-05-07
2,1088,93,2025-07-05
3,54,389,2025-01-09
4,2348,147,2025-05-21
5,2243,924,2025-08-15
6,404,806,2025-09-11
7,1448,253,2025-12-29
8,2478,374,2025-05-23
9,2440,951,2025-04-20
10,513,163,2025-08-16
11,1566,218,2025-06-05
12,2133,667,2025-06-05
13,2661,539,2025-09-17
14,943,74,2025-06-05
15,115,841,2025-02-01
16,1384,267,2025-12-03
17,1094,581,2025-08-02
18,2609,198,2025-07-17
19,1004,954,2026-05-05
20,1095,923,2026-04-23
21,1829,285,2025-03-05
22,2235,894,2026-04-26
23,494,807,2025-07-07
24,2158,653,2026-04-12
25,543,844,2026-03-10
26,2924,731,2026-06-20
27,1057,683,2025-04-18
28,897,141,2025-06-16
29,665,808,2025-10-16
30,680,345,2025-10-02
31,379,401,2026-02-01
32,213,832,2025-10-22
33,1988,696,2026-07-04
34,2960,102,2026-02-17
35,1999,476,2026-04-26
36,1153,985,2026-02-24
37,2146,179,2025-02-04
38,881,835,2026-05-29
39,2775,583,2025-10-21
40,610,201,2025-11-06
41,944,976,2025-09-11
42,58,673,2025-09-10
43,308,466,2025-07-11
44,937,272,2025-02-24
45,350,177,2026-03-09
46,1816,945,2025-10-18
47,2116,859,2025-01-13
48,1265,611,2025-07-07
49,2679,53,2025-07-13
50,414,179,2026-06-01
51,2131,489,2025-12-04
52,2098,78,2025-09-24
53,1322,937,2026-03-16
54,2038,303,2025-01-28
55,1933,224,2025-04-08
56,2361,608,2025-01-16
57,1345,323,2026-04-07
58,2698,297,2026-05-05
59,1033,752,2025-04-11
60,772,66,2025-04-27
61,1840,992,2026-01-10
62,1442,647,2026-01-09
63,2168,891,2025-10-10
64,2540,900,2025-08-28
65,2203,776,2025-06-06
66,2521,665,2026-02-07
67,1234,470,2026-04-21
68,178,38,2025-10-31
69,1399,171,2025-10-29
70,1282,5,2025-08-23
71,286,804,2026-01-19
72,2569,541,2025-01-18
73,1651,372,2025-03-05
74,2915,147,2025-05-03
75,851,2,2025-12-27
76,1327,232,2026-05-31
77,686,849,2026-04-12
78,474,180,2025-06-15
79,861,637,2025-03-21
80,2294,319,2025-03-02
81,856,651,2025-12-05
82,2661,933,2025-05-30
83,1653,768,2026-05-09
84,2143,806,2025-10-10
85,1307,27,2025-11-29
86,2105,186,2026-02-05
87,2174,836,2025-12-11
88,576,846,2025-08-15
89,2950,257,2025-12-29
90,675,41,2025-12-20
91,715,281,2025-06-24
92,298,251,2026-04-18
93,179,131,2026-03-20
94,2305,790,2025-02-11
95,2913,390,2025-03-08
96,1887,667,2025-08-26
97,2037,605,2026-03-10
98,2865,238,2025-07-23
99,33,699,2026-06-24
100,2548,240,2025-11-11
101,969,791,2025-12-15
102,583,125,2026-02-07
103,2745,404,2026-02-27
104,381,872,2026-06-27
105,2938,199,2025-06-21
106,1623,629,2025-03-24
107,2801,788,2025-09-01
108,875,619,2025-07-01
109,2391,627,2026-06-05
110,1157,328,2025-05-13
111,2314,335,2026-04-05
112,2955,302,2026-03-03
113,2731,651,2026-02-20
114,283,165,2025-09-01
115,847,628,2025-06-20
116,110,457,2025-11-11
117,1117,83,2026-06-11
118,575,847,2025-10-07
119,1684,416,2026-01-30
120,1416,66,2025-11-26
121,94,822,2026-04-25
122,831,397,2025-04-21
123,1947,981,2025-06-23
124,1737,97,2026-03-27
125,2420,626,2026-05-31
126,1659,716,2025-02-03
127,2945,999,2025-08-08
128,2336,346,2026-02-04
129,2910,128,2025-07-13
130,2806,578,2025-07-26
131,438,879,2025-05-10
132,32,653,2025-09-07
133,938,708,2026-06-06
134,800,550,2025-10-02
135,2029,655,2025-04-08
136,2304,794,2025-09-30
137,2800,935,2025-06-29
138,1416,992,2026-04-09
139,1740,501,2026-05-05
140,1030,695,2025-01-02
141,1943,579,2025-03-12
142,2624,436,2025-12-19
143,301,546,2025-02-28
144,1881,51,2025-05-09
145,1531,537,2025-12-15
